报告期,总市值,总股本,收盘,市销率,营业总收入(亿),营业总收入同比增长率,净利润(亿),净利润同比增长率,每股净资产,总现金,未分配利润,销售净利率,股东权益,存货
2026-03-31,62.615,16.0965,3.89,4.6589,3.36,-8.38%,1.97亿,0.68%,4.61,5.27亿,46.40亿,58.85%,73.25亿,1.17亿
2025,63.098,16.0965,3.92,4.6913,13.45,-13.90%,5.57亿,-20.30%,4.48,6.13亿,44.43亿,41.41%,71.27亿,1.20亿
2024,74.527,16.0965,4.63,4.7682,15.63,-3.39%,6.98亿,5.69%,4.27,4.56亿,41.12亿,44.42%,67.87亿,1.30亿
2023,35.66,12.382,2.88,2.2053,16.17,7.79%,6.61亿,13.56%,5.09,7.20亿,39.62亿,40.29%,62.25亿,5.24亿
2022,27.69,11.2563,2.46,1.8448,15.01,-18.03%,5.82亿,-17.09%,5.07,9.37亿,35.18亿,38.49%,56.32亿,3.04亿
2021,28.591,11.2563,2.54,1.5615,18.31,6.25%,7.02亿,24.37%,4.74,5.49亿,31.48亿,38.25%,52.66亿,2.79亿
2020,24.651,11.2563,2.19,1.4307,17.23,-19.77%,5.64亿,-35.71%,4.26,4.97亿,26.16亿,32.57%,47.36亿,3.39亿
2019,29.829,11.2563,2.65,1.3893,21.47,18.03%,8.78亿,106.94%,3.84,6.10亿,21.94亿,40.26%,42.56亿,19.76亿
2018,19.811,11.2563,1.76,1.0891,18.19,1.52%,4.24亿,15.34%,3.17,8.40亿,15.05亿,22.28%,35.33亿,20.58亿
2017,,,2.17,,17.92,38.95%,3.68亿,65.52%,3.93,5.49亿,15.51亿,19.87%,32.53亿,20.27亿
2016,,,2.31,,12.9,-38.16%,2.22亿,332.27%,3.59,5.51亿,12.90亿,14.78%,30.55亿,23.02亿
2015,,,2.68,,20.86,-36.60%,-9564.83万,-230.25%,3.43,6.70亿,10.88亿,-10.47%,30.16亿,21.12亿
2014,,,2.23,,32.9,-46.73%,7343.49万,-61.71%,3.55,3.85亿,11.86亿,0.63%,31.40亿,20.89亿
2013,,,1.86,,61.76,14.60%,1.92亿,-39.48%,3.59,12.58亿,11.50亿,2.60%,33.53亿,19.11亿
2012,,,1.55,,53.89,134.12%,3.17亿,15.27%,3.39,6.82亿,10.04亿,5.50%,31.90亿,14.37亿
2011,,,1.36,,23.02,542.23%,2.75亿,28.58%,4.52,6.77亿,8.84亿,10.33%,29.26亿,7.51亿
2010,,,1.92,,3.58,49.02%,2.14亿,49.86%,4.19,7.43亿,6.96亿,55.76%,26.66亿,6.45亿
