报告期,总市值,总股本,收盘,市销率,营业总收入(亿),营业总收入同比增长率,净利润(亿),净利润同比增长率,每股净资产,总现金,未分配利润,销售净利率,股东权益,存货
2026-03-31,257.625,3.1533,81.7,6.2409,10.32,-33.01%,8510.19万,-35.42%,11.66,21.33亿,22.36亿,8.30%,37.93亿,44.73亿
2025,142.669,3.1522,45.26,2.2302,63.97,-30.60%,4.45亿,-64.64%,11.30,22.00亿,21.50亿,5.84%,36.70亿,40.79亿
2024,129.812,3.15,41.21,1.4082,92.18,45.94%,12.57亿,0.10%,12.44,24.97亿,23.69亿,14.45%,40.50亿,53.58亿
2023,135.471,2.2481,60.26,2.1497,63.02,78.05%,12.56亿,76.10%,15.61,28.45亿,18.96亿,19.91%,37.44亿,76.30亿
2022,144.955,1.5447,93.84,4.0948,35.4,72.94%,7.13亿,92.36%,16.65,16.81亿,9.22亿,19.63%,25.90亿,38.88亿
2021,76.726,0.9867,77.76,3.7482,20.47,78.93%,3.71亿,138.63%,14.27,8.00亿,3.70亿,17.95%,14.28亿,18.52亿
2020,20.81,0.9867,21.09,1.8191,11.44,51.67%,1.55亿,111.57%,11.04,7.15亿,1.02亿,13.58%,10.90亿,12.82亿
2019,,,,,7.54,28.70%,7342.99万,45.36%,6.09,1.28亿,281.08万,9.65%,4.52亿,5.91亿
2018,,,,,5.86,3.53%,5051.51万,83.02%,5.09,4671.54万,-6206.86万,8.58%,3.78亿,3.77亿
2017,,,,,5.66,28.71%,2760.14万,126.25%,4.41,8788.56万,-1.11亿,4.70%,3.28亿,2.84亿
2016,,,,,4.4,87.12%,-1.05亿,-258.07%,1.86,6646.24万,-1.39亿,-23.91%,1.24亿,1.98亿
2015,,,,,2.35,222.94%,6653.39万,301.88%,1.79,5366.16万,2917.06万,24.68%,8064.73万,1.80亿
2014,,,,,0.727762,7573.46%,1655.56万,594.18%,0.50,1128.57万,1138.88万,22.75%,2265.43万,4401.28万
2013,,,,,0.009484,False,-335.01万,False,-0.95,69.53万,-390.13万,-353.23%,-190.13万,598.84万
