报告期,总市值,总股本,收盘,市销率,营业总收入(亿),营业总收入同比增长率,净利润(亿),净利润同比增长率,每股净资产,总现金,未分配利润,销售净利率,股东权益,存货
2026-03-31,488.878,26.0874,18.74,3.6235,33.73,-6.95%,3.12亿,-22.27%,6.20,74.24亿,106.29亿,9.21%,168.08亿,17.81亿
2025,364.18,26.0874,13.96,2.3509,154.91,-19.10%,7.70亿,-41.14%,6.12,76.64亿,103.18亿,4.80%,165.95亿,16.04亿
2024,378.267,26.0874,14.5,1.9756,191.47,-15.23%,13.08亿,-29.33%,6.09,76.22亿,103.03亿,6.73%,166.18亿,18.68亿
2023,312.808,18.6417,16.78,1.3848,225.89,19.66%,18.50亿,17.20%,8.08,53.41亿,95.97亿,8.19%,157.98亿,30.90亿
2022,435.683,13.3155,32.72,2.308,188.77,46.82%,15.79亿,-28.13%,10.11,62.69亿,80.91亿,8.37%,140.11亿,35.16亿
2021,435.318,9.511,45.77,3.3856,128.58,53.20%,21.97亿,40.35%,12.80,27.71亿,70.25亿,17.09%,121.90亿,24.50亿
2020,191.079,7.6955,24.83,2.2766,83.93,31.59%,15.65亿,63.52%,11.73,21.78亿,53.44亿,18.65%,90.29亿,9.74亿
2019,52.155,5.226,9.98,0.8177,63.78,32.61%,9.57亿,27.39%,12.09,25.58亿,40.70亿,14.97%,65.29亿,9.09亿
2018,28.429,5.226,5.44,0.591,48.1,4.90%,7.51亿,28.38%,10.63,4.95亿,34.08亿,15.59%,55.56亿,7.80亿
2017,,,5.24,,45.85,16.03%,5.85亿,-30.97%,12.50,3.40亿,28.98亿,12.76%,50.29亿,4.79亿
2016,,,6.94,,39.52,18.57%,8.48亿,30.97%,12.04,3.24亿,27.15亿,21.45%,48.41亿,4.78亿
2015,,,7.36,,33.33,39.69%,6.47亿,49.80%,10.62,6.70亿,21.48亿,19.42%,42.69亿,4.38亿
2014,,,5.58,,23.86,21.89%,4.32亿,-27.45%,9.46,1.50亿,16.82亿,18.11%,38.02亿,4.82亿
2013,,,,,19.57,-10.78%,5.96亿,18.52%,5.56,5.40亿,14.09亿,30.43%,19.01亿,2.11亿
2012,,,,,21.94,-10.77%,5.02亿,-17.77%,5.27,5.73亿,13.47亿,22.90%,18.01亿,1.87亿
2011,,,,,24.59,44.37%,6.11亿,10.76%,3.80,3.04亿,8.95亿,24.85%,12.99亿,1.55亿
2010,,,,,17.03,302.00%,5.52亿,346.00%,2.14,1.84亿,5.96亿,32.39%,7.33亿,1.85亿
