报告期,总市值,总股本,收盘,市销率,营业总收入(亿),营业总收入同比增长率,净利润(亿),净利润同比增长率,每股净资产,总现金,未分配利润,销售净利率,股东权益,存货
2026-03-31,100.314,7.2272,13.88,1.2867,19.49,12.26%,7398.13万,-29.28%,17.65,21.59亿,106.42亿,3.56%,126.35亿,4.98亿
2025,85.064,7.2272,11.77,1.108,76.77,-19.09%,2.20亿,-69.20%,17.48,20.00亿,105.68亿,2.06%,125.15亿,3.33亿
2024,93.303,7.2272,12.91,0.9834,94.88,-13.57%,7.16亿,-26.16%,17.72,27.04亿,105.57亿,7.00%,127.63亿,2.54亿
2023,92.942,7.2272,12.86,0.8466,109.78,-13.11%,9.69亿,-44.30%,17.45,31.62亿,102.82亿,8.91%,126.12亿,2.90亿
2022,91.424,7.2272,12.65,0.7236,126.34,24.39%,17.40亿,365.47%,16.82,31.86亿,98.41亿,13.63%,121.37亿,4.50亿
2021,71.332,7.2272,9.87,0.7024,101.56,32.69%,3.74亿,-44.08%,14.51,10.21亿,82.13亿,4.03%,105.27亿,2.79亿
2020,62.298,7.2272,8.62,0.8139,76.54,0.41%,6.68亿,16.35%,14.25,5.97亿,80.40亿,7.85%,103.01亿,3.24亿
2019,56.083,7.2272,7.76,0.7357,76.23,11.29%,5.75亿,-13.13%,13.65,5.03亿,75.45亿,6.41%,99.35亿,3.58亿
2018,56.011,7.2272,7.75,0.8178,68.49,8.13%,6.61亿,27.44%,13.16,1.79亿,72.21亿,8.49%,96.68亿,3.15亿
2017,,,9.56,,63.34,22.29%,5.19亿,14.89%,12.38,5.82亿,67.19亿,4.98%,91.86亿,2.75亿
2016,,,8.48,,51.8,4.42%,4.52亿,3859.62%,11.76,6.77亿,62.72亿,7.98%,89.42亿,2.42亿
2015,,,8.03,,49.6,-21.90%,1140.69万,-76.45%,11.05,1.75亿,58.21亿,-0.60%,84.60亿,3.35亿
2014,,,8.79,,63.52,-24.93%,4844.27万,-68.26%,11.03,1.71亿,58.09亿,0.25%,85.37亿,4.17亿
2013,,,7.74,,84.61,-12.98%,1.53亿,-83.45%,11.01,4.38亿,57.61亿,1.60%,83.65亿,5.88亿
2012,,,12.16,,97.23,-3.55%,9.22亿,-34.96%,11.00,2.64亿,58.97亿,9.62%,83.73亿,7.27亿
2011,,,13.94,,100.81,13.79%,14.18亿,6.41%,10.05,6.98亿,51.92亿,14.21%,75.92亿,6.50亿
2010,,,20.83,,88.59,20.85%,13.32亿,40.29%,8.31,6.23亿,39.55亿,15.23%,63.03亿,4.22亿
