报告期,总市值,总股本,收盘,市销率,营业总收入(亿),营业总收入同比增长率,净利润(亿),净利润同比增长率,每股净资产,总现金,未分配利润,销售净利率,股东权益,存货
2026-03-31,27.741,2.345,11.83,4.3076,1.61,8.37%,940.98万,5.95%,2.97,8918.81万,2.20亿,5.82%,7.06亿,7861.74万
2025,25.748,2.345,10.98,5.5017,4.68,-14.07%,2739.59万,-39.36%,2.93,1.29亿,2.11亿,5.77%,6.96亿,7844.96万
2024,20.542,2.345,8.76,3.7692,5.45,0.38%,4517.99万,5.10%,2.86,1.20亿,1.96亿,8.08%,6.74亿,1985.96万
2023,13.202,2.345,5.63,2.4313,5.43,20.05%,4298.60万,-24.31%,2.71,1.48亿,1.62亿,7.87%,6.40亿,1394.48万
2022,8.278,2.345,3.53,1.8314,4.52,-1.53%,5679.18万,-21.45%,2.67,1.72亿,1.57亿,12.54%,6.27亿,1249.98万
2021,14.281,2.345,6.09,3.1113,4.59,19.08%,7230.24万,15.73%,2.48,2.44亿,1.17亿,15.74%,5.82亿,1172.94万
2020,7.129,2.345,3.04,1.8469,3.86,8.57%,6247.73万,2.06%,2.42,2.97亿,1.10亿,16.20%,5.68亿,1676.57万
2019,,,,,3.55,20.98%,6121.63万,48.24%,1.82,1.26亿,1.08亿,17.23%,3.33亿,3859.51万
2018,,,,,2.94,32.91%,4129.63万,2.90%,1.43,5435.62万,5632.19万,14.06%,2.43亿,2998.14万
2017,,,,,2.21,27.85%,4013.38万,197.70%,1.49,6414.40万,7202.50万,18.17%,2.53亿,963.93万
2016,,,,,1.73,-2.46%,1348.13万,-17.40%,1.40,3324.08万,5739.12万,7.80%,2.38亿,2929.43万
2015,,,,,1.78,-3.91%,1632.02万,-61.17%,3.30,4089.96万,5069.75万,14.85%,2.30亿,3318.18万
2014,,,,,2.44,210.84%,4203.50万,1396.07%,1.40,1187.47万,3757.88万,12.57%,1.38亿,1920.66万
2013,,,,,0.180294,81.09%,280.97万,305.23%,1.15,193.74万,327.43万,27.48%,4352.13万,2300.06万
2012,,,,,0.099559,False,-136.91万,False,1.03,1180.33万,96.31万,-14.26%,4096.05万,1115.54万
