报告期,总市值,总股本,收盘,市销率,营业总收入(亿),营业总收入同比增长率,净利润(亿),净利润同比增长率,每股净资产,总现金,未分配利润,销售净利率,股东权益,存货
2026-03-31,15.365,1.1134,13.8,3.123,1.23,-1.03%,-2605.76万,-11.71%,1.60,2658.40万,-1.58亿,-20.02%,2.32亿,1.83亿
2025,24.717,1.1134,22.2,3.9109,6.32,5.92%,-2.13亿,-521.55%,1.79,1709.26万,-1.32亿,-32.97%,2.52亿,1.90亿
2024,12.108,1.0859,11.15,2.0281,5.97,21.96%,-3430.69万,-3144.43%,3.73,2045.71万,8108.77万,-5.70%,4.54亿,1.72亿
2023,18.808,1.0859,17.32,3.8384,4.9,-13.07%,-105.74万,-102.51%,4.08,5481.03万,1.20亿,-0.29%,4.71亿,1.57亿
2022,15.8,1.0859,14.55,2.8064,5.63,-0.58%,4208.00万,35.96%,4.19,1.80亿,1.33亿,7.47%,4.55亿,9851.38万
2021,,,,,5.66,40.57%,3095.05万,-0.27%,3.28,1732.92万,9367.06万,5.46%,2.58亿,6347.81万
2020,,,,,4.03,-3.62%,3103.49万,-19.67%,2.94,1965.89万,6890.49万,7.69%,2.31亿,4105.92万
2019,,,,,4.18,38.65%,3863.64万,71.67%,2.69,2224.36万,5112.55万,9.26%,2.14亿,3304.15万
2018,,,,,3.02,4.98%,2250.58万,585.67%,2.19,294.60万,1507.44万,7.60%,1.76亿,2872.17万
2017,,,,,2.87,88.91%,328.23万,-15.32%,1.93,2272.11万,-485.23万,1.37%,1.54亿,3009.42万
2016,,,,,1.51,26.09%,387.60万,142.80%,2.04,3290.48万,-1251.28万,8.20%,1.08亿,1933.01万
2015,,,,,1.2,19.36%,-905.70万,-7.30%,1.98,2768.67万,-893.16万,8.65%,1.10亿,2829.65万
2014,,,,,1.0,4.29%,-844.12万,-263.45%,1.32,686.42万,12.54万,4.02%,7051.02万,3062.28万
2013,,,,,0.962509,43.23%,516.45万,56.26%,1.22,1346.88万,778.65万,5.37%,7295.13万,3635.11万
2012,,,,,0.672023,False,330.50万,False,3.21,3480.71万,1962.35万,4.92%,6778.69万,2666.75万
