报告期,总市值,总股本,收盘,市销率,营业总收入(亿),营业总收入同比增长率,净利润(亿),净利润同比增长率,每股净资产,总现金,未分配利润,销售净利率,股东权益,存货
2026-03-31,433.376,5.0334,86.1,2.2723,47.68,182.14%,3.23亿,819.09%,11.32,21.53亿,20.02亿,6.93%,58.05亿,46.07亿
2025,267.878,5.0334,53.22,2.2428,119.44,50.04%,2.06亿,181.61%,10.65,20.68亿,16.78亿,1.67%,55.21亿,41.94亿
2024,141.489,5.0334,28.11,1.7773,79.61,14.83%,-2.52亿,-685.72%,10.11,17.51亿,14.72亿,-4.06%,52.51亿,27.98亿
2023,142.071,5.0344,28.22,2.0495,69.32,-23.54%,4310.20万,-93.14%,10.73,22.62亿,17.55亿,0.96%,56.17亿,31.03亿
2022,357.315,4.6129,77.46,3.9408,90.67,59.26%,6.28亿,244.45%,8.58,12.99亿,17.81亿,7.16%,41.68亿,26.08亿
2021,203.181,4.335,46.87,3.569,56.93,56.30%,1.82亿,242.90%,6.37,12.87亿,11.76亿,3.21%,29.53亿,16.04亿
2020,108.913,4.1954,25.96,2.9905,36.42,10.09%,5320.33万,-68.38%,5.85,14.76亿,10.37亿,1.77%,26.42亿,8.77亿
2019,49.623,2.8115,17.65,1.5001,33.08,28.80%,1.68亿,-36.46%,8.28,4.92亿,9.92亿,5.48%,25.05亿,8.98亿
2018,29.802,2.8115,10.6,1.1601,25.69,22.41%,2.65亿,5.33%,7.91,4.71亿,8.60亿,10.62%,23.63亿,9.10亿
2017,,,19.39,,20.98,65.06%,2.51亿,81.15%,7.16,6.79亿,6.26亿,11.94%,20.16亿,5.59亿
2016,,,20.48,,12.71,44.68%,1.39亿,58.99%,3.77,1.26亿,4.13亿,10.81%,9.54亿,3.36亿
2015,,,26.94,,8.79,25.44%,8728.83万,44.89%,9.86,1.68亿,3.00亿,9.78%,8.32亿,2.41亿
2014,,,,,7.01,4.81%,6024.39万,5.34%,7.35,7042.75万,2.20亿,8.53%,4.65亿,1.72亿
2013,,,,,6.68,22.79%,5719.23万,11.62%,6.40,6907.84万,1.64亿,8.50%,4.03亿,1.62亿
2012,,,,,5.44,26.78%,5123.80万,8.45%,5.49,8971.78万,1.11亿,9.38%,3.47亿,1.49亿
2011,,,,,4.29,False,4724.64万,False,4.68,9537.56万,6372.99万,11.10%,2.96亿,1.15亿
