报告期,总市值,总股本,收盘,市销率,营业总收入(亿),营业总收入同比增长率,净利润(亿),净利润同比增长率,每股净资产,总现金,未分配利润,销售净利率,股东权益,存货
2026-03-31,147.125,8.3594,17.6,3.356,10.96,-9.65%,6017.25万,12.15%,6.78,38.89亿,24.84亿,6.57%,61.92亿,12.59亿
2025,140.187,8.3594,16.77,2.2462,62.41,-3.03%,4.37亿,-0.73%,6.71,38.70亿,24.24亿,8.97%,61.34亿,12.22亿
2024,80.722,7.3921,10.92,1.254,64.37,-20.33%,4.40亿,705.74%,5.53,35.30亿,21.70亿,7.90%,47.12亿,15.52亿
2023,89.961,7.392,12.17,1.1135,80.79,10.01%,5458.19万,-73.23%,5.10,38.41亿,18.04亿,1.43%,43.52亿,13.99亿
2022,103.636,7.392,14.02,1.4112,73.44,11.64%,2.04亿,-51.50%,4.83,36.38亿,18.26亿,3.57%,41.19亿,19.03亿
2021,223.756,7.392,30.27,3.4016,65.78,22.83%,4.20亿,-18.47%,4.74,39.36亿,18.04亿,7.15%,40.14亿,17.07亿
2020,63.276,7.392,8.56,1.1814,53.56,36.37%,5.15亿,40.79%,4.58,27.63亿,17.15亿,11.47%,37.27亿,9.27亿
2019,50.344,7.3927,6.81,1.282,39.27,9.95%,3.66亿,49.99%,4.40,22.76亿,15.13亿,11.15%,34.85亿,10.18亿
2018,33.864,7.3939,4.58,0.948,35.72,2.02%,2.44亿,-41.51%,4.21,9.72亿,13.04亿,6.32%,33.03亿,10.12亿
2017,,,9.03,,35.01,29.41%,4.17亿,117.89%,4.03,7.44亿,12.47亿,12.20%,32.30亿,8.00亿
2016,,,7.66,,27.06,3.28%,1.92亿,223.62%,4.23,10.35亿,9.48亿,7.73%,29.75亿,8.88亿
2015,,,8.78,,26.2,-16.38%,-1.55亿,-319.33%,6.10,6.53亿,8.06亿,-7.69%,28.13亿,7.27亿
2014,,,8.26,,31.33,-47.28%,7064.17万,1.93%,6.61,6.91亿,10.38亿,3.36%,31.08亿,7.48亿
2013,,,5.25,,59.42,-49.31%,6930.70万,-79.54%,6.54,9.30亿,10.47亿,2.44%,30.87亿,8.92亿
2012,,,5.98,,117.22,195.46%,3.39亿,3.10%,6.56,8.69亿,10.92亿,3.47%,29.95亿,11.70亿
2011,,,7.79,,39.67,19.89%,3.29亿,-1.75%,6.00,10.80亿,9.06亿,10.18%,27.41亿,9.79亿
2010,,,,,33.09,16.44%,3.34亿,45.01%,3.23,7.18亿,7.21亿,12.73%,14.24亿,8.47亿
