报告期,总市值,总股本,收盘,市销率,营业总收入(亿),营业总收入同比增长率,净利润(亿),净利润同比增长率,每股净资产,总现金,未分配利润,销售净利率,股东权益,存货
2026-03-31,341.015,12.4186,27.46,16.8153,5.07,39.66%,7718.75万,2.49%,5.41,15.44亿,31.03亿,14.97%,70.36亿,20.12亿
2025,350.95,12.4186,28.26,10.4512,33.58,-1.25%,6.29亿,-0.20%,5.35,17.60亿,30.26亿,19.05%,69.61亿,18.17亿
2024,245.392,12.4186,19.76,7.2174,34.0,3.61%,6.30亿,5.10%,4.84,11.30亿,27.47亿,18.62%,60.33亿,17.80亿
2023,168.52,12.4186,13.57,5.1347,32.82,1.77%,5.99亿,9.10%,4.47,15.64亿,23.15亿,18.42%,55.72亿,20.79亿
2022,204.659,12.4186,16.48,6.346,32.25,-6.04%,5.49亿,4.43%,4.11,10.95亿,18.88亿,17.15%,51.23亿,20.03亿
2021,219.933,12.4186,17.71,6.4083,34.32,-4.81%,5.26亿,12.75%,3.80,11.70亿,15.12亿,15.42%,47.23亿,21.78亿
2020,202.051,12.4186,16.27,5.6032,36.06,6.54%,4.66亿,13.72%,3.47,11.71亿,11.42亿,12.92%,43.22亿,20.86亿
2019,85.2,6.2235,13.69,2.5177,33.84,11.22%,4.10亿,985.07%,2.90,7.59亿,13.16亿,3.59%,39.83亿,24.49亿
2018,76.362,6.2235,12.27,7.3214,10.43,-9.63%,3780.38万,-77.68%,2.85,7.79亿,7.00亿,3.62%,17.75亿,9.99亿
2017,,,17.53,,11.54,-8.24%,1.69亿,-25.84%,3.74,6.94亿,7.13亿,14.67%,17.89亿,10.09亿
2016,,,22.09,,12.58,15.22%,2.28亿,22.27%,3.53,5.52亿,6.28亿,18.15%,16.88亿,9.02亿
2015,,,24.99,,10.92,13.50%,1.87亿,28.05%,3.99,3.25亿,6.69亿,17.11%,10.26亿,6.32亿
2014,,,19.97,,9.62,6.40%,1.46亿,54.29%,3.43,2.95亿,5.54亿,15.16%,8.83亿,5.33亿
2013,,,8.98,,9.04,-8.60%,9454.46万,-23.45%,6.03,3.34亿,4.90亿,10.24%,7.75亿,4.78亿
2012,,,6.85,,9.89,-7.51%,1.24亿,633.91%,3.95,1.96亿,3.91亿,5.15%,10.06亿,4.71亿
2011,,,4.68,,2.95,2.29%,1682.81万,11.31%,3.79,7988.29万,729.29万,5.69%,3.34亿,1.93亿
2010,,,7.16,,2.89,26.86%,1511.77万,138.35%,3.59,4512.54万,-953.52万,4.66%,3.27亿,1.70亿
