报告期,总市值,总股本,收盘,市销率,营业总收入(亿),营业总收入同比增长率,净利润(亿),净利润同比增长率,每股净资产,总现金,未分配利润,销售净利率,股东权益,存货
2026-03-31,31.267,3.4397,9.09,0.4947,15.8,6.36%,1412.93万,-86.25%,6.56,5.73亿,2.23亿,1.10%,23.11亿,11.50亿
2025,35.842,3.4397,10.42,0.5786,61.95,4.24%,2.34亿,32.02%,6.53,5.56亿,2.09亿,3.90%,23.01亿,10.41亿
2024,27.277,3.4397,7.93,0.459,59.43,-15.12%,1.77亿,133.50%,6.16,2.90亿,9117.50万,3.01%,21.74亿,10.75亿
2023,35.051,3.4397,10.19,0.5007,70.01,-0.39%,7576.75万,118.13%,5.80,2.57亿,-2621.25万,1.20%,20.47亿,17.84亿
2022,45.916,3.59,12.79,0.6533,70.28,28.97%,-4.18亿,-117.70%,5.54,3.48亿,-2187.58万,-6.10%,20.34亿,14.72亿
2021,55.537,3.59,15.47,1.0192,54.49,3.07%,-1.92亿,-150.96%,6.67,4.53亿,3.96亿,-3.63%,24.50亿,8.58亿
2020,48.321,2.89,16.72,0.914,52.87,28.43%,-7649.91万,-159.38%,6.31,3.82亿,6.15亿,-1.46%,18.86亿,8.75亿
2019,35.518,2.89,12.29,0.8627,41.17,14.34%,1.29亿,-41.32%,6.81,4.78亿,7.19亿,3.02%,20.28亿,8.99亿
2018,31.299,2.89,10.83,0.8694,36.0,9.04%,2.20亿,14.74%,7.27,2.72亿,7.46亿,6.15%,21.65亿,5.01亿
2017,,,17.18,,33.02,22.70%,1.91亿,-6.99%,11.29,1.94亿,5.65亿,5.80%,19.20亿,5.90亿
2016,,,,,26.91,23.09%,2.06亿,12.45%,8.86,1.94亿,4.17亿,7.65%,6.64亿,2.34亿
2015,,,,,21.86,7.78%,1.83亿,26.57%,6.37,4.16亿,2.62亿,8.37%,4.78亿,1.05亿
2014,,,,,20.28,-7.88%,1.45亿,179.80%,4.12,2.26亿,1.21亿,7.13%,3.09亿,1.38亿
2013,,,,,22.02,-3.03%,5165.89万,144.70%,2.48,2.36亿,8791.96万,2.35%,1.86亿,2.04亿
2012,,,,,22.71,False,2111.10万,False,1.84,9333.21万,4080.22万,0.84%,1.24亿,1.25亿
