报告期,总市值,总股本,收盘,市销率,营业总收入(亿),营业总收入同比增长率,净利润(亿),净利润同比增长率,每股净资产,总现金,未分配利润,销售净利率,股东权益,存货
2026-03-31,63.325,1.4581,43.43,3.7338,4.24,-41.00%,6141.66万,-59.55%,12.31,9.91亿,13.97亿,14.47%,18.53亿,2.80亿
2025,75.894,1.4581,52.05,3.2254,23.53,-17.03%,4.37亿,-40.36%,12.01,9.61亿,13.35亿,18.58%,18.08亿,3.02亿
2024,81.839,1.0387,78.79,2.8857,28.36,59.76%,7.33亿,55.27%,18.25,9.19亿,13.65亿,25.84%,19.65亿,4.08亿
2023,31.366,1.04,30.16,1.7671,17.75,40.96%,4.72亿,73.60%,12.56,6.93亿,8.40亿,26.59%,13.06亿,1.76亿
2022,19.825,1.032,19.21,1.5734,12.6,115.08%,2.72亿,230.90%,8.41,4.77亿,4.72亿,21.53%,8.68亿,1.50亿
2021,13.02,1.0,13.02,2.2218,5.86,64.69%,8217.10万,26.73%,6.04,3.23亿,2.58亿,13.92%,6.05亿,1.13亿
2020,,,,,3.56,-12.19%,6483.74万,-9.82%,5.15,1.77亿,2.05亿,18.08%,3.87亿,6004.38万
2019,,,,,4.05,7.57%,7190.02万,-11.48%,4.30,1.25亿,1.47亿,17.61%,3.24亿,6690.16万
2018,,,,,3.76,10.70%,8122.42万,214.55%,3.33,5086.44万,8342.07万,21.58%,2.50亿,5902.19万
2017,,,,,3.4,False,2582.21万,False,2.25,4040.54万,1031.89万,7.59%,1.69亿,6376.51万
