报告期,总市值,总股本,收盘,市销率,营业总收入(亿),营业总收入同比增长率,净利润(亿),净利润同比增长率,每股净资产,总现金,未分配利润,销售净利率,股东权益,存货
2026-03-31,31.633,4.1787,7.57,2.2531,3.51,-14.97%,89.12万,-95.85%,4.95,5.10亿,10.09亿,0.20%,20.65亿,2.65亿
2025,35.059,4.1787,8.39,1.9499,17.98,-23.78%,1830.67万,-89.89%,4.94,5.44亿,10.08亿,0.99%,20.63亿,2.59亿
2024,29.669,4.1787,7.1,1.2582,23.58,7.96%,1.81亿,-17.17%,5.10,9.60亿,10.75亿,7.62%,21.28亿,3.18亿
2023,41.16,4.1787,9.85,1.8846,21.84,11.47%,2.19亿,3.59%,4.98,11.79亿,10.27亿,9.85%,20.69亿,3.69亿
2022,32.856,4.1801,7.86,1.6763,19.6,4.89%,2.11亿,51.41%,4.63,9.56亿,9.05亿,10.62%,19.27亿,3.03亿
2021,35.6,4.1833,8.51,1.9058,18.68,45.48%,1.39亿,21.58%,4.24,7.11亿,7.74亿,7.15%,17.69亿,2.87亿
2020,21.258,4.1847,5.08,1.6556,12.84,15.75%,1.15亿,-36.86%,4.02,8.11亿,7.12亿,8.90%,16.84亿,2.38亿
2019,22.487,4.096,5.49,2.0277,11.09,11.64%,1.82亿,12.73%,4.00,8.72亿,6.94亿,16.36%,16.40亿,1.84亿
2018,14.029,2.56,5.48,1.4114,9.94,8.34%,1.61亿,0.39%,6.00,7.87亿,6.08亿,16.21%,15.35亿,1.45亿
2017,,,8.41,,9.17,12.26%,1.60亿,-8.94%,9.09,6.50亿,5.44亿,17.49%,14.54亿,1.39亿
2016,,,15.05,,8.17,0.25%,1.76亿,13.67%,8.49,2.69亿,4.63亿,21.56%,13.58亿,1.27亿
2015,,,,,8.15,6.65%,1.55亿,11.05%,5.12,1.30亿,3.52亿,19.01%,6.14亿,1.09亿
2014,,,,,7.64,12.35%,1.40亿,3.97%,4.03,7445.58万,2.37亿,18.26%,4.83亿,1.09亿
2013,,,,,6.8,14.91%,1.34亿,37.45%,3.07,7519.36万,1.35亿,19.73%,3.68亿,9170.78万
2012,,,,,5.92,21.77%,9765.03万,27.14%,2.45,9542.37万,7439.46万,16.49%,2.94亿,8017.06万
2011,,,,,4.86,False,7680.37万,False,7.84,7849.11万,1.41亿,15.80%,1.96亿,6111.09万
