报告期,总市值,总股本,收盘,市销率,营业总收入(亿),营业总收入同比增长率,净利润(亿),净利润同比增长率,每股净资产,总现金,未分配利润,销售净利率,股东权益,存货
2026-03-31,38.039,3.5352,10.76,2.6564,3.58,-39.37%,6217.86万,-59.76%,8.01,23.79亿,14.10亿,17.37%,28.34亿,1.19亿
2025,43.66,3.5352,12.35,2.8838,15.14,-16.39%,1.75亿,-48.30%,7.83,25.22亿,13.48亿,11.57%,27.72亿,1.09亿
2024,43.094,3.5352,12.19,2.3796,18.11,-1.57%,3.38亿,7.39%,7.78,25.09亿,13.42亿,18.71%,27.56亿,1.21亿
2023,50.73,3.5352,14.35,2.7571,18.4,10.93%,3.15亿,17.55%,7.28,27.76亿,11.63亿,17.14%,25.76亿,1.10亿
2022,35.67,3.5352,10.09,2.1514,16.58,4.19%,2.68亿,17.20%,6.54,23.52亿,9.32亿,16.16%,23.13亿,9815.02万
2021,83.219,3.5352,23.54,5.2273,15.92,25.33%,2.29亿,13.81%,5.84,21.71亿,7.12亿,14.39%,20.68亿,1.46亿
2020,,,,,12.7,5.40%,2.01亿,9.99%,3.48,9.60亿,5.04亿,15.84%,9.27亿,1.45亿
2019,,,,,12.05,10.24%,1.83亿,15.96%,3.10,15.69亿,4.19亿,14.79%,8.25亿,1.15亿
2018,,,,,10.93,11.89%,1.57亿,6.39%,5.20,15.44亿,8.53亿,14.41%,13.83亿,1.02亿
2017,,,,,9.77,False,1.48亿,False,4.61,12.41亿,7.09亿,15.13%,12.27亿,1.30亿
