报告期,总市值,总股本,收盘,市销率,营业总收入(亿),营业总收入同比增长率,净利润(亿),净利润同比增长率,每股净资产,总现金,未分配利润,销售净利率,股东权益,存货
2026-03-31,83.557,16.0379,5.21,10.6578,1.96,39.43%,280.26万,161.71%,0.57,5.34亿,-11.31亿,4.11%,10.60亿,1466.59万
2025,115.473,16.0379,7.2,14.4522,7.99,22.35%,2800.13万,127.18%,0.56,6.95亿,-11.34亿,8.55%,10.50亿,1120.38万
2024,64.953,16.0379,4.05,9.9469,6.53,12.25%,-1.03亿,-116.96%,0.47,7.71亿,-11.62亿,-15.44%,8.56亿,1415.36万
2023,62.43,16.0489,3.89,10.7268,5.82,89.90%,6.07亿,158.68%,0.64,4.56亿,-10.59亿,79.40%,11.33亿,1085.35万
2022,48.581,8.03,6.05,15.8244,3.07,-67.39%,-10.35亿,-50.08%,-1.18,6110.74万,-15.45亿,-346.11%,-6.99亿,961.49万
2021,59.02,8.03,7.35,6.2787,9.4,-41.78%,-6.90亿,1.22%,0.17,4.36亿,-5.00亿,-77.10%,4.47亿,1754.99万
2020,103.346,8.03,12.87,6.3991,16.15,-73.25%,-6.98亿,-655.74%,1.17,7.09亿,1.89亿,-43.73%,12.93亿,4379.69万
2019,70.503,8.03,8.78,1.168,60.36,-26.21%,1.26亿,-35.28%,2.98,8.44亿,8.25亿,2.52%,26.69亿,2581.99万
2018,51.392,8.03,6.4,0.6283,81.8,1.67%,1.94亿,-12.03%,2.76,15.27亿,6.97亿,2.67%,23.86亿,1324.28万
2017,,,13.56,,80.45,21.24%,2.21亿,3.82%,2.51,24.19亿,5.06亿,3.03%,21.89亿,1084.35万
2016,,,14.46,,66.36,34.48%,2.13亿,3.30%,2.33,14.70亿,3.67亿,3.63%,20.64亿,1507.22万
2015,,,26.22,,49.35,51.92%,2.06亿,129.72%,2.05,19.41亿,1.67亿,4.64%,17.62亿,1526.75万
2014,,,6.9,,32.48,-8.17%,8958.78万,93.60%,2.20,8.33亿,-4793.69万,9.76%,7.67亿,1208.50万
2013,,,4.74,,6.47,18.02%,4627.46万,266.83%,2.07,5.56亿,-1.22亿,10.00%,6.25亿,847.78万
2012,,,5.11,,5.48,6.10%,1261.47万,-22.77%,1.89,3.36亿,-1.66亿,5.28%,5.73亿,1978.38万
2011,,,5.5,,5.17,25.07%,1633.47万,-45.54%,1.85,5.66亿,-1.76亿,5.89%,5.59亿,2264.96万
2010,,,6.65,,4.13,43.45%,2999.47万,12.78%,1.79,2.66亿,-1.90亿,11.26%,5.36亿,1578.42万
