报告期,总市值,总股本,收盘,市销率,营业总收入(亿),营业总收入同比增长率,净利润(亿),净利润同比增长率,每股净资产,总现金,未分配利润,销售净利率,股东权益,存货
2026-03-31,461.576,9.7833,47.18,1.9011,60.7,14.16%,9.83亿,45.15%,19.05,83.48亿,102.93亿,16.19%,186.41亿,3.67亿
2025,582.106,9.7833,59.5,2.7125,214.6,7.30%,23.17亿,1.96%,18.57,88.30亿,93.11亿,10.80%,181.64亿,3.81亿
2024,551.413,9.7855,56.35,2.7571,200.0,11.50%,22.73亿,0.69%,17.76,102.24亿,81.80亿,11.36%,173.81亿,3.55亿
2023,473.912,9.7855,48.43,2.6419,179.38,114.34%,22.57亿,174.36%,16.10,115.83亿,65.91亿,12.58%,157.50亿,2.02亿
2022,606.603,9.7855,61.99,7.2482,83.69,-22.92%,-30.36亿,-7861.89%,13.99,103.28亿,44.09亿,-36.27%,136.93亿,1.75亿
2021,502.22,9.1646,54.8,4.6253,108.58,15.85%,3911.19万,106.65%,15.00,72.60亿,74.44亿,0.34%,137.47亿,2.13亿
2020,490.123,9.1646,53.48,5.2291,93.73,-36.68%,-5.88亿,-131.96%,15.47,91.92亿,79.03亿,-6.31%,141.81亿,2.18亿
2019,386.218,9.1673,42.13,2.6089,148.04,12.88%,18.41亿,22.50%,16.40,77.19亿,86.32亿,12.42%,150.41亿,1.69亿
2018,278.646,9.169,30.39,2.1248,131.14,19.54%,15.03亿,19.12%,14.53,49.10亿,69.74亿,11.46%,133.25亿,1.24亿
2017,,,35.43,,109.71,30.15%,12.62亿,32.73%,10.57,42.79亿,56.43亿,11.50%,84.64亿,9289.30万
2016,,,34.75,,84.29,4.15%,9.51亿,-28.42%,9.15,47.09亿,46.24亿,11.28%,73.23亿,6782.70万
2015,,,57.46,,80.94,10.45%,13.28亿,50.18%,8.17,30.95亿,39.26亿,16.41%,65.40亿,5496.57万
2014,,,,,73.28,11.64%,8.84亿,20.75%,11.84,24.00亿,28.24亿,12.07%,35.53亿,4283.84万
2013,,,,,65.63,16.54%,7.32亿,17.23%,9.14,14.75亿,20.13亿,11.16%,27.43亿,4162.32万
2012,,,,,56.32,26.19%,6.25亿,29.26%,6.91,16.34亿,13.45亿,11.09%,20.73亿,3830.85万
2011,,,,,44.63,False,4.83亿,False,4.83,7.22亿,7.83亿,10.83%,14.49亿,3077.51万
