报告期,总市值,总股本,收盘,市销率,营业总收入(亿),营业总收入同比增长率,净利润(亿),净利润同比增长率,每股净资产,总现金,未分配利润,销售净利率,股东权益
2026-03-31,188.501,46.4288,4.06,8.7593,5.38,34.04%,1.69亿,63.80%,3.13,366.24亿,8.73亿,32.18%,147.60亿
2025,199.644,46.4288,4.3,10.1704,19.63,40.97%,4.56亿,85.41%,3.10,364.07亿,7.05亿,22.95%,145.88亿
2024,199.644,46.4288,4.3,14.3422,13.92,-14.13%,2.46亿,16.18%,3.03,320.30亿,3.59亿,13.13%,142.83亿
2023,175.965,46.4288,3.79,8.9413,19.68,4.62%,2.12亿,98.54%,2.99,342.48亿,2.42亿,10.28%,141.50亿
2022,166.679,46.4288,3.59,8.8612,18.81,-57.45%,1.07亿,-79.23%,2.96,318.26亿,2.11亿,5.72%,142.07亿
2021,223.787,46.4288,4.82,5.0619,44.21,42.46%,5.13亿,392.04%,2.95,368.40亿,2.95亿,12.46%,141.44亿
2020,318.037,46.4288,6.85,10.2493,31.03,30.80%,1.04亿,79.14%,2.88,335.44亿,1.03亿,3.29%,141.86亿
2019,202.352,38.6907,5.23,8.5273,23.73,43.82%,5822.27万,-11.50%,2.50,265.59亿,8823.27万,3.16%,104.98亿
2018,160.179,38.6907,4.14,9.7078,16.5,-23.19%,6578.76万,-85.12%,2.57,211.94亿,2.39亿,5.81%,112.75亿
2017,,,5.94,,21.48,6.91%,4.42亿,-38.50%,2.59,162.60亿,4.00亿,24.27%,114.52亿
2016,,,,,20.09,-49.38%,7.19亿,-48.87%,2.70,201.28亿,8.91亿,36.84%,115.47亿
2015,,,,,40.04,121.45%,14.06亿,149.96%,2.53,177.53亿,13.97亿,35.02%,88.76亿
2014,,,,,18.08,55.18%,5.62亿,122.31%,2.20,127.82亿,14.77亿,30.42%,58.57亿
2013,,,,,11.65,15.61%,2.53亿,38.38%,2.01,79.72亿,11.19亿,20.46%,41.75亿
2012,,,,,10.08,41.94%,1.83亿,72.51%,1.88,87.67亿,9.49亿,18.18%,38.39亿
2011,,,,,7.1,-47.23%,1.06亿,-77.83%,1.78,83.81亿,8.70亿,14.95%,36.85亿
2010,,,,,13.46,-27.62%,4.78亿,-44.85%,False,94.20亿,12.05亿,35.54%,40.24亿
