报告期,总市值,总股本,收盘,市销率,营业总收入(亿),营业总收入同比增长率,净利润(亿),净利润同比增长率,每股净资产,未分配利润,销售净利率,股东权益
2026-03-31,2229.74,194.0592,11.49,1.5802,352.77,4.65%,145.23亿,3.03%,23.91,2837.14亿,41.17%,5440.83亿
2025,2214.215,194.0592,11.41,1.6846,1314.42,-10.40%,426.33亿,-4.21%,23.25,2707.88亿,32.43%,5511.84亿
2024,2154.057,194.0592,11.1,1.4684,1466.95,-10.93%,445.08亿,-4.19%,21.89,2436.05亿,30.34%,4948.42亿
2023,1519.484,194.0592,7.83,0.9226,1646.99,-8.45%,464.55亿,2.06%,20.74,2212.55亿,28.21%,4723.28亿
2022,2194.81,194.0592,11.31,1.2201,1798.95,6.21%,455.16亿,25.26%,18.80,1863.05亿,25.30%,4346.80亿
2021,2794.452,194.0592,14.4,1.6498,1693.83,10.32%,363.36亿,25.61%,16.77,1543.77亿,21.45%,3954.48亿
2020,3314.531,194.0592,17.08,2.1587,1535.42,11.30%,289.28亿,2.60%,15.16,1311.86亿,18.84%,3641.31亿
2019,2712.948,194.0592,13.98,1.9665,1379.58,18.20%,281.95亿,13.61%,14.07,1133.70亿,20.44%,3129.83亿
2018,1160.72,171.7041,6.76,0.9945,1167.16,10.33%,248.18亿,7.02%,12.82,950.37亿,21.26%,2400.42亿
2017,,,10.55,,1057.86,-1.79%,231.89亿,2.61%,11.77,796.61亿,21.92%,2220.54亿
2016,,,6.19,,1077.15,12.01%,225.99亿,3.36%,10.61,641.43亿,20.98%,2021.71亿
2015,,,6.95,,961.63,31.00%,218.65亿,10.42%,11.29,529.33亿,22.74%,1615.00亿
2014,,,7.84,,734.07,40.66%,198.02亿,30.01%,11.46,436.56亿,26.98%,1309.49亿
2013,,,3.84,,521.89,31.30%,152.31亿,13.64%,11.77,299.63亿,29.18%,1120.81亿
2012,,,2.48,,397.49,34.09%,134.03亿,30.40%,16.55,230.77亿,33.99%,847.99亿
2011,,,2.29,,296.43,64.94%,102.79亿,64.55%,14.31,158.64亿,35.05%,753.81亿
2010,,,2.36,,179.72,19.24%,62.47亿,24.17%,9.62,87.41亿,34.87%,335.13亿
