报告期,总市值,总股本,收盘,市销率,营业总收入(亿),营业总收入同比增长率,净利润(亿),净利润同比增长率,每股净资产,总现金,未分配利润,销售净利率,股东权益,存货
2025-09-30,147.419,2.9951,49.22,8.518,12.98,18.45%,2.52亿,90.59%,6.99,10.03亿,5.13亿,19.39%,20.92亿,2.28亿
2024,65.233,2.9951,21.78,4.1656,15.66,24.51%,2.01亿,173.04%,6.79,11.70亿,4.57亿,12.80%,20.31亿,1.59亿
2023,61.639,2.9951,20.58,4.8998,12.58,-20.99%,7375.65万,-61.87%,6.33,10.27亿,3.46亿,5.72%,18.95亿,1.51亿
2022,38.813,2.8085,13.82,2.438,15.92,27.62%,1.93亿,46.90%,6.15,9.33亿,4.68亿,12.07%,17.37亿,1.91亿
2021,55.568,2.8093,19.78,4.4526,12.48,8.62%,1.32亿,-29.99%,5.88,8.27亿,4.13亿,10.49%,16.64亿,1.52亿
2020,56.05,2.8095,19.95,4.8782,11.49,48.06%,1.88亿,53.09%,6.02,10.67亿,4.71亿,16.19%,17.08亿,1.17亿
2019,56.308,2.5205,22.34,7.2562,7.76,1.65%,1.23亿,-12.68%,3.10,3.62亿,4.11亿,15.90%,7.96亿,6955.32万
2018,25.929,1.5753,16.46,3.3983,7.63,33.78%,1.41亿,71.09%,4.31,3.03亿,3.22亿,18.50%,6.81亿,1.08亿
2017,,,4.13,,5.7,187.49%,8224.40万,123.06%,6.38,1.97亿,2.04亿,14.44%,5.56亿,7654.51万
2016,,,,,1.98,11.38%,3687.04万,9.43%,5.09,1.64亿,1.30亿,18.90%,3.33亿,2432.49万
2015,,,,,1.78,-21.01%,3369.34万,-38.99%,4.62,1.43亿,1.00亿,18.91%,3.02亿,2810.82万
2014,,,,,2.26,49.74%,5523.02万,26.95%,4.48,2.06亿,9394.17万,24.49%,2.92亿,1942.27万
2013,,,,,1.51,26.06%,4350.51万,30.11%,2.57,4808.67万,4457.99万,28.88%,1.54亿,1041.04万
2012,,,,,1.19,34.16%,3343.60万,34.82%,1.85,5607.51万,555.44万,27.98%,1.11亿,876.98万
2011,,,,,0.890608,False,2480.04万,False,2.57,4201.96万,4847.66万,27.77%,9237.70万,640.78万
