报告期,总市值,总股本,收盘,市销率,营业总收入(亿),营业总收入同比增长率,净利润(亿),净利润同比增长率,每股净资产,总现金,未分配利润,销售净利率,股东权益,存货
2025-09-30,37.397,1.353,27.64,5.3834,5.21,15.10%,8594.39万,-2.54%,13.88,11.96亿,6.64亿,16.53%,18.96亿,1.75亿
2024,39.404,1.3513,29.16,5.8724,6.71,37.45%,1.24亿,51.28%,13.57,11.70亿,6.28亿,18.54%,18.54亿,2.19亿
2023,27.925,1.0412,26.82,5.7223,4.88,-19.27%,8217.06万,-35.47%,16.88,13.25亿,5.35亿,16.84%,17.58亿,1.30亿
2022,14.805,0.6941,21.33,2.4471,6.05,0.73%,1.27亿,-14.94%,24.34,12.19亿,4.82亿,21.03%,16.90亿,1.20亿
2021,,,,,6.0,-10.43%,1.50亿,-11.06%,10.46,3.66亿,3.97亿,24.94%,5.45亿,1.12亿
2020,,,,,6.7,135.23%,1.68亿,230.29%,7.62,2.54亿,2.48亿,25.12%,3.88亿,1.17亿
2019,,,,,2.85,30.46%,5096.35万,2.69%,3.99,1.33亿,1.06亿,17.89%,1.99亿,4397.52万
2018,,,,,2.18,27.93%,4962.82万,49.68%,2.93,7085.80万,6988.77万,22.73%,1.45亿,4463.53万
2017,,,,,1.71,43.03%,3315.67万,56.21%,2.28,4433.99万,4038.29万,19.43%,1.10亿,3045.63万
2016,,,,,1.19,44.45%,2122.51万,137.67%,2.37,2865.29万,1405.09万,17.79%,5913.68万,1919.38万
2015,,,,,0.826128,36.79%,893.03万,118.80%,15.38,1821.95万,2553.77万,10.57%,3114.17万,639.19万
2014,,,,,0.591312,False,408.14万,False,10.51,94.13万,1750.03万,6.90%,2101.56万,837.63万
