报告期,总市值,总股本,收盘,市销率,营业总收入(亿),营业总收入同比增长率,净利润(亿),净利润同比增长率,每股净资产,总现金,未分配利润,销售净利率,股东权益,存货
2025-09-30,58.941,8.1186,7.26,4.8631,9.09,-10.64%,-1.38亿,47.70%,4.50,16.18亿,-3.65亿,-18.32%,37.39亿,7.92亿
2024,57.303,8.1628,7.02,3.5177,16.29,-7.99%,-5.15亿,60.74%,4.65,19.79亿,-2.27亿,-31.93%,38.87亿,5.94亿
2023,67.12,8.1954,8.19,3.7921,17.7,-20.31%,-13.11亿,-33.22%,5.26,22.20亿,2.88亿,-74.89%,44.24亿,6.01亿
2022,56.317,8.2456,6.83,2.5345,22.22,-61.38%,-9.84亿,-434.01%,6.87,24.95亿,15.99亿,-45.65%,58.06亿,8.69亿
2021,105.292,8.2907,12.7,1.8305,57.52,71.40%,2.95亿,0.52%,8.06,25.10亿,25.83亿,5.04%,68.65亿,11.33亿
2020,194.522,8.1629,23.83,5.7962,33.56,-4.40%,2.93亿,-49.51%,7.92,30.67亿,23.17亿,8.76%,66.43亿,18.03亿
2019,204.614,8.0939,25.28,5.8295,35.1,29.60%,5.80亿,16.61%,7.33,23.57亿,21.99亿,16.58%,59.95亿,7.20亿
2018,112.344,7.5449,14.89,4.1486,27.08,15.84%,4.98亿,30.58%,5.63,13.03亿,16.74亿,18.05%,43.17亿,6.77亿
2017,,,14.72,,23.38,28.46%,3.81亿,40.29%,4.87,12.97亿,12.31亿,16.03%,37.70亿,5.16亿
2016,,,17.21,,18.2,34.66%,2.72亿,30.34%,2.79,8.10亿,8.86亿,15.07%,18.48亿,4.35亿
2015,,,23.4,,13.52,49.75%,2.08亿,41.44%,4.74,8.00亿,6.51亿,15.43%,15.53亿,4.07亿
2014,,,9.46,,9.03,34.75%,1.47亿,22.60%,7.46,5.38亿,4.59亿,16.58%,11.53亿,3.70亿
2013,,,7.05,,6.7,22.74%,1.20亿,21.06%,6.47,4.37亿,3.34亿,18.23%,9.88亿,2.00亿
2012,,,2.85,,5.46,17.39%,9929.95万,22.33%,5.78,5.29亿,2.44亿,18.48%,8.72亿,1.35亿
2011,,,3.52,,4.65,16.45%,8117.24万,14.90%,11.71,6.33亿,2.61亿,17.62%,8.70亿,9214.10万
2010,,,,,3.99,19.40%,7064.82万,34.62%,4.88,1.82亿,1.87亿,17.80%,2.73亿,4776.23万
