报告期,总市值,总股本,收盘,市销率,营业总收入(亿),营业总收入同比增长率,净利润(亿),净利润同比增长率,每股净资产,总现金,未分配利润,销售净利率,股东权益,存货
2025-09-30,77.206,5.8534,13.19,1.1648,49.71,-2.50%,1.83亿,2.65%,7.26,17.76亿,20.48亿,3.59%,42.47亿,1.99亿
2024,70.007,5.8534,11.96,1.0147,68.99,4.50%,1.24亿,-42.81%,7.08,21.44亿,19.65亿,1.77%,41.45亿,9901.85万
2023,71.395,5.9151,12.07,1.0816,66.01,1.89%,2.17亿,-29.73%,6.81,19.73亿,18.85亿,3.24%,40.35亿,7466.63万
2022,58.929,5.9166,9.96,0.9095,64.79,17.11%,3.09亿,-23.45%,6.54,19.86亿,18.21亿,4.63%,39.17亿,5406.07万
2021,64.905,5.9166,10.97,1.1733,55.32,28.36%,4.04亿,22.10%,6.22,19.07亿,17.23亿,7.54%,37.51亿,3831.42万
2020,44.066,5.322,8.28,1.0224,43.1,16.88%,3.31亿,34.26%,5.72,19.97亿,14.04亿,7.94%,31.02亿,2385.09万
2019,47.426,5.252,9.03,1.286,36.88,27.91%,2.46亿,11.15%,5.03,18.88亿,11.23亿,6.79%,27.59亿,911.12万
2018,34.735,5.2549,6.61,1.2048,28.83,28.10%,2.22亿,1.87%,4.62,12.70亿,9.36亿,7.82%,24.42亿,1258.99万
2017,,,11.1,,22.5,16.37%,2.18亿,85.74%,4.14,10.94亿,7.63亿,9.73%,21.14亿,2.62万
2016,,,11.54,,19.34,12.57%,1.17亿,-35.23%,10.54,10.06亿,5.99亿,5.97%,18.60亿,2.73万
2015,,,16.59,,17.18,10.03%,1.81亿,6.14%,10.14,8.45亿,5.23亿,10.52%,17.21亿,1.69万
2014,,,9.29,,15.61,17.51%,1.70亿,33.26%,9.28,7.12亿,3.99亿,10.88%,15.58亿,2.08万
2013,,,8.58,,13.29,63.08%,1.28亿,33.60%,8.51,7.99亿,2.72亿,9.63%,14.09亿,False
2012,,,4.6,,8.15,18.83%,9574.16万,33.64%,6.19,4.72亿,1.79亿,11.82%,9.28亿,False
2011,,,,,6.86,59.72%,7164.24万,29.52%,8.66,6.67亿,1.19亿,10.44%,8.65亿,False
2010,,,,,4.29,40.48%,5531.52万,42.65%,4.15,1.85亿,7117.01万,12.90%,3.11亿,False
