报告期,总市值,总股本,收盘,市销率,营业总收入(亿),营业总收入同比增长率,净利润(亿),净利润同比增长率,每股净资产,总现金,未分配利润,销售净利率,股东权益,存货
2025-09-30,60.634,8.1062,7.48,3.5528,12.8,0.47%,-1.96亿,39.85%,3.07,3.63亿,-492.76万,-15.32%,24.55亿,1.05亿
2024,57.47,7.9931,7.19,2.4372,23.58,40.29%,-3.65亿,62.66%,3.19,6.22亿,1.91亿,-15.48%,25.47亿,7760.54万
2023,75.427,7.9986,9.43,4.487,16.81,-36.06%,-9.77亿,-3516.62%,3.43,7.44亿,5.56亿,-58.16%,27.44亿,1.90亿
2022,81.455,7.9858,10.2,3.0983,26.29,0.76%,2859.85万,-91.70%,4.58,9.24亿,15.39亿,1.08%,36.59亿,2.82亿
2021,125.776,7.9858,15.75,4.8209,26.09,29.80%,3.45亿,14.42%,4.55,11.98亿,15.65亿,13.22%,36.36亿,1.48亿
2020,120.519,7.9814,15.1,5.996,20.1,20.28%,3.01亿,32.94%,4.38,17.07亿,12.89亿,14.99%,34.96亿,6477.61万
2019,142.464,7.9812,17.85,8.5257,16.71,24.24%,2.27亿,34.77%,4.24,16.73亿,10.94亿,13.54%,33.82亿,5270.53万
2018,67.892,7.9967,8.49,5.0477,13.45,7.17%,1.68亿,10.31%,3.89,12.30亿,9.22亿,12.45%,31.08亿,3964.29万
2017,,,8.87,,12.55,15.07%,1.52亿,-30.78%,3.56,17.40亿,8.23亿,12.16%,28.66亿,4372.74万
2016,,,16.47,,10.91,24.27%,2.20亿,13.28%,5.16,9.48亿,7.29亿,20.17%,19.19亿,2600.24万
2015,,,23.52,,8.78,24.90%,1.94亿,34.48%,4.69,7.30亿,5.69亿,22.04%,16.90亿,1522.22万
2014,,,10.3,,7.03,12.78%,1.45亿,22.34%,7.17,6.08亿,4.19亿,20.56%,9.71亿,2257.19万
2013,,,,,6.23,18.18%,1.18亿,24.63%,6.23,2.25亿,3.26亿,17.74%,4.85亿,1855.50万
2012,,,,,5.27,27.11%,9477.16万,1.88%,4.77,2.35亿,2.19亿,17.98%,3.58亿,1250.63万
2011,,,,,4.15,39.89%,9302.07万,41.49%,3.52,2.26亿,1.34亿,22.43%,2.64亿,1557.50万
2010,,,,,2.96,30.40%,6574.49万,72.97%,2.28,2.24亿,8306.20万,22.17%,1.71亿,1411.85万
