报告期,总市值,总股本,收盘,市销率,营业总收入(亿),营业总收入同比增长率,净利润(亿),净利润同比增长率,每股净资产,总现金,未分配利润,销售净利率,股东权益,存货
2025-09-30,5764.95,915.0714,6.3,1.0966,3942.7,0.59%,307.73亿,5.03%,5.01,1081.34亿,2054.79亿,7.80%,4652.34亿,40.46亿
2024,6368.897,915.0714,6.96,1.2164,5235.69,3.10%,330.12亿,8.43%,4.94,1020.09亿,1997.70亿,6.30%,4565.52亿,32.67亿
2023,4575.357,915.0714,5.0,0.9009,5078.43,6.92%,304.46亿,10.34%,4.84,918.51亿,1937.21亿,5.99%,4471.67亿,34.17亿
2022,3413.216,915.0714,3.73,0.7186,4749.67,9.40%,275.93亿,6.32%,4.72,763.00亿,1864.00亿,5.83%,4364.28亿,35.13亿
2021,3266.805,915.0714,3.57,0.7524,4341.6,11.34%,259.53亿,24.44%,4.68,752.13亿,1880.58亿,6.02%,4311.81亿,38.27亿
2020,,,,,3899.39,4.77%,208.55亿,1.63%,4.49,330.92亿,1729.83亿,5.41%,3661.83亿,33.17亿
2019,,,,,3722.0,-0.73%,205.21亿,0.44%,4.36,244.58亿,1632.40亿,5.57%,3550.47亿,28.80亿
2018,,,,,3749.29,2.93%,204.32亿,9.72%,4.24,234.80亿,1556.46亿,5.48%,3441.06亿,48.32亿
2017,,,,,3642.49,4.05%,186.23亿,3.42%,4.03,225.28亿,1419.83亿,5.15%,3267.04亿,41.23亿
2016,,,,,3500.79,6.25%,180.08亿,-10.21%,False,279.48亿,1325.46亿,5.18%,3163.02亿,50.81亿
2015,,,,,3297.21,0.89%,200.56亿,13.35%,False,343.88亿,1226.69亿,6.11%,3047.58亿,62.81亿
2014,,,,,3268.27,-0.70%,176.94亿,0.70%,False,218.15亿,1106.77亿,5.44%,2901.15亿,42.25亿
2013,,,,,3291.26,13.85%,175.71亿,17.24%,False,183.57亿,1008.63亿,5.38%,2786.58亿,65.23亿
2012,,,,,2890.97,15.40%,149.87亿,-9.66%,False,327.12亿,904.96亿,5.22%,2659.98亿,59.28亿
2011,,,,,2505.19,11.37%,165.90亿,7.58%,False,291.76亿,825.49亿,6.66%,2568.19亿,48.43亿
2010,,,,,2249.27,4.87%,154.20亿,10.35%,False,277.92亿,733.93亿,6.91%,2459.45亿,31.70亿
