报告期,总市值,总股本,收盘,市销率,营业总收入(亿),营业总收入同比增长率,净利润(亿),净利润同比增长率,每股净资产,总现金,未分配利润,销售净利率,股东权益,存货
2025-09-30,37.198,0.7366,50.5,5.0725,5.5,34.61%,1.03亿,23.00%,15.24,8.78亿,6.14亿,19.04%,11.27亿,1.79亿
2024,24.208,0.7385,32.78,3.9556,6.12,24.00%,1.30亿,38.25%,14.12,8.32亿,5.26亿,21.39%,10.45亿,1.72亿
2023,29.587,0.736,40.2,6.0014,4.93,27.49%,9395.07万,33.55%,12.42,7.33亿,4.15亿,19.09%,9.16亿,1.03亿
2022,15.251,0.5257,29.01,3.9408,3.87,-13.92%,7034.99万,-32.97%,15.62,5.55亿,3.33亿,18.19%,8.22亿,9225.31万
2021,32.355,0.5243,61.71,7.19,4.5,44.63%,1.05亿,159.65%,14.24,4.95亿,2.72亿,24.31%,7.47亿,1.05亿
2020,20.112,0.5243,38.36,6.4669,3.11,4.77%,4041.93万,-21.92%,12.40,4.73亿,1.87亿,13.31%,6.52亿,6143.79万
2019,,,,,2.97,7.31%,5176.64万,11.22%,7.87,1.23亿,1.60亿,17.47%,3.10亿,5339.16万
2018,,,,,2.76,20.59%,4654.60万,44.11%,6.49,1.09亿,1.10亿,16.65%,2.55亿,3728.84万
2017,,,,,2.29,58.52%,3229.81万,42.20%,5.32,8386.08万,6727.73万,14.04%,2.08亿,5845.42万
2016,,,,,1.45,55.74%,2271.30万,54.23%,3.01,5901.12万,3812.30万,15.85%,1.06亿,3615.32万
2015,,,,,0.928464,64.47%,1472.67万,239.39%,2.55,5259.97万,2199.18万,14.33%,8675.95万,2762.65万
2014,,,,,0.650351,11.99%,433.92万,-35.09%,1.37,1914.35万,767.46万,6.12%,4278.02万,1549.66万
2013,,,,,0.580722,22.33%,668.50万,52.24%,1.22,1448.74万,387.54万,10.24%,3695.24万,1005.25万
2012,,,,,0.474729,28.48%,439.11万,3.18%,0.99,804.26万,858.32万,9.25%,2963.76万,814.18万
2011,,,,,0.369498,False,425.60万,False,0.84,686.85万,463.12万,11.52%,2524.65万,846.42万
