报告期,总市值,总股本,收盘,市销率,营业总收入(亿),营业总收入同比增长率,净利润(亿),净利润同比增长率,每股净资产,总现金,未分配利润,销售净利率,股东权益,存货
2025-09-30,80.699,5.0754,15.9,3.695,16.38,0.22%,2.34亿,2.86%,7.23,3.91亿,17.68亿,14.11%,36.79亿,8.73亿
2024,61.057,5.0754,12.03,2.8491,21.43,0.48%,2.95亿,9.68%,6.92,6.63亿,16.23亿,13.73%,35.15亿,8.69亿
2023,59.027,5.0754,11.63,2.7673,21.33,9.10%,2.69亿,18.16%,6.46,8.72亿,14.18亿,12.60%,32.78亿,8.47亿
2022,53.698,5.0754,10.58,2.7467,19.55,2.37%,2.28亿,-10.20%,5.82,12.07亿,11.74亿,11.64%,29.53亿,8.50亿
2021,96.132,4.8576,19.79,5.0331,19.1,20.45%,2.53亿,17.30%,4.92,7.71亿,9.90亿,13.27%,23.90亿,8.20亿
2020,62.226,4.8576,12.81,3.9235,15.86,17.60%,2.16亿,25.58%,4.45,4.07亿,7.87亿,13.63%,21.62亿,7.73亿
2019,37.501,4.8576,7.72,2.782,13.48,23.98%,1.72亿,66.47%,4.06,5.05亿,6.09亿,12.76%,19.70亿,7.51亿
2018,26.474,4.8577,5.45,2.4355,10.87,43.91%,1.03亿,65.62%,3.71,2.34亿,4.60亿,9.50%,18.03亿,7.76亿
2017,,,6.7,,7.56,25.84%,6239.96万,20.96%,3.54,2.16亿,3.73亿,8.26%,16.93亿,5.61亿
2016,,,9.77,,6.0,40.46%,5158.89万,211.22%,5.55,1.09亿,3.27亿,8.59%,12.19亿,3.69亿
2015,,,13.14,,4.28,-8.18%,1657.63万,-69.20%,5.24,1.18亿,2.90亿,3.88%,11.32亿,3.14亿
2014,,,9.55,,4.66,-8.90%,5381.65万,-18.33%,4.51,1.70亿,2.85亿,11.56%,9.38亿,2.14亿
2013,,,5.91,,5.11,14.66%,6589.46万,1.37%,4.30,3.14亿,2.47亿,12.89%,8.94亿,2.21亿
2012,,,5.82,,4.46,18.02%,6500.45万,27.79%,4.03,3.28亿,1.98亿,14.58%,8.39亿,2.17亿
2011,,,5.28,,3.78,25.19%,5086.67万,15.34%,7.54,4.25亿,1.50亿,13.47%,7.84亿,1.59亿
2010,,,8.44,,3.02,5.35%,4410.27万,7.54%,7.15,5.04亿,1.14亿,14.62%,7.44亿,9141.46万
