报告期,总市值,总股本,收盘,市销率,营业总收入(亿),营业总收入同比增长率,净利润(亿),净利润同比增长率,每股净资产,总现金,未分配利润,销售净利率,股东权益,存货
2025-09-30,53.862,2.0885,25.79,1.7656,22.88,17.77%,1.69亿,25.57%,9.52,10.67亿,11.65亿,7.37%,19.89亿,5.88亿
2024,36.655,2.0886,17.55,1.3378,27.4,2.96%,1.94亿,-14.35%,9.14,11.69亿,10.58亿,7.07%,19.10亿,5.22亿
2023,33.13,2.0889,15.86,1.245,26.61,-2.35%,2.26亿,10.67%,8.65,13.01亿,9.51亿,8.50%,18.08亿,5.35亿
2022,28.23,2.0958,13.47,1.036,27.25,6.67%,2.04亿,4.49%,7.93,12.00亿,8.04亿,7.89%,16.92亿,5.33亿
2021,28.353,1.497,18.94,1.163,24.38,56.10%,1.96亿,84.75%,9.91,8.38亿,6.49亿,8.02%,14.83亿,5.75亿
2020,22.705,1.4667,15.48,1.4536,15.62,22.90%,1.06亿,-4.83%,8.99,11.42亿,4.98亿,6.78%,13.19亿,3.00亿
2019,25.33,1.4667,17.27,1.9929,12.71,-5.00%,1.11亿,-20.18%,8.54,9.67亿,4.31亿,8.75%,12.52亿,2.17亿
2018,,,,,13.38,25.12%,1.39亿,60.28%,5.52,3.50亿,3.69亿,10.42%,6.07亿,2.56亿
2017,,,,,10.69,42.99%,8692.92万,46.78%,4.44,2.51亿,2.55亿,8.13%,4.88亿,2.00亿
2016,,,,,7.48,6.69%,5922.60万,19.47%,3.76,2.73亿,1.82亿,7.92%,4.13亿,1.24亿
2015,,,,,7.01,7.72%,4957.42万,182.13%,3.36,1.82亿,1.36亿,7.07%,3.69亿,1.17亿
2014,,,,,6.5,-22.29%,1757.13万,-55.98%,2.91,1.54亿,8831.68万,2.70%,3.20亿,1.56亿
2013,,,,,8.37,False,3991.44万,False,2.82,2.16亿,7996.24万,4.77%,3.10亿,1.35亿
