报告期,总市值,总股本,收盘,市销率,营业总收入(亿),营业总收入同比增长率,净利润(亿),净利润同比增长率,每股净资产,总现金,未分配利润,销售净利率,股东权益,存货
2025-09-30,108.868,4.3065,25.28,1.808,45.16,5.20%,4.25亿,147.91%,9.51,14.62亿,29.28亿,9.35%,43.66亿,6.75亿
2024,60.808,4.3065,14.12,1.1194,54.32,6.80%,2.24亿,-20.69%,8.63,13.64亿,25.46亿,4.19%,39.35亿,9.29亿
2023,74.372,4.4348,16.77,1.4623,50.86,-39.08%,2.83亿,-84.66%,8.10,25.26亿,24.12亿,5.59%,36.99亿,8.17亿
2022,88.863,3.0537,29.1,1.0644,83.49,28.76%,18.44亿,125.91%,10.84,20.75亿,23.36亿,22.32%,33.12亿,10.11亿
2021,75.646,2.97,25.47,1.1667,64.84,26.60%,8.16亿,143.76%,7.91,12.56亿,15.69亿,12.75%,24.02亿,10.35亿
2020,36.709,2.97,12.36,0.7168,51.21,7.11%,3.35亿,11.62%,6.66,8.48亿,12.67亿,6.72%,20.33亿,5.25亿
2019,34.719,2.97,11.69,0.7262,47.81,21.93%,3.00亿,-23.47%,6.78,6.63亿,13.55亿,6.26%,20.81亿,6.55亿
2018,27.74,2.97,9.34,0.7075,39.21,7.68%,3.92亿,57.48%,6.14,3.50亿,12.03亿,10.00%,18.22亿,5.59亿
2017,,,9.51,,36.41,-23.36%,2.49亿,375.35%,5.27,1.89亿,9.26亿,6.84%,15.66亿,4.09亿
2016,,,10.76,,47.51,77.48%,5238.04万,395.52%,4.63,3.29亿,7.18亿,1.10%,13.75亿,3.69亿
2015,,,9.61,,26.77,-10.04%,1057.08万,-94.76%,6.53,2.06亿,6.76亿,0.39%,12.92亿,5.30亿
2014,,,9.57,,29.76,-5.90%,2.02亿,-33.24%,6.73,1.98亿,7.28亿,6.78%,13.33亿,5.61亿
2013,,,13.88,,31.63,5.14%,3.02亿,806.99%,6.11,2.74亿,6.40亿,9.57%,12.26亿,4.70亿
2012,,,5.0,,30.08,15.64%,3332.00万,559.30%,4.74,1.63亿,4.28亿,1.15%,9.39亿,4.47亿
2011,,,2.31,,26.01,31.08%,505.38万,-83.58%,4.57,3.59亿,3.97亿,0.30%,9.34亿,3.71亿
2010,,,4.26,,19.84,-14.83%,3077.79万,139.36%,4.55,1.96亿,3.92亿,1.83%,9.27亿,3.29亿
