报告期,总市值,总股本,收盘,市销率,营业总收入(亿),营业总收入同比增长率,净利润(亿),净利润同比增长率,每股净资产,总现金,未分配利润,销售净利率,股东权益,存货
2025-09-30,38.57,0.9772,39.47,8.5838,3.37,-7.46%,-1639.22万,-141.59%,9.77,3.71亿,2.70亿,-4.92%,9.56亿,4207.85万
2024,40.089,0.957,41.89,8.6028,4.66,-13.14%,-1965.11万,-182.15%,9.73,5.16亿,2.95亿,-4.32%,9.33亿,4342.62万
2023,47.074,0.8794,53.53,8.7661,5.37,-24.73%,2392.04万,-80.10%,8.66,3.78亿,3.33亿,4.31%,7.63亿,4585.18万
2022,33.532,0.8794,38.13,4.7029,7.13,-18.99%,1.20亿,19.65%,8.64,4.10亿,3.35亿,16.77%,7.62亿,5343.76万
2021,46.476,0.8794,52.85,5.2814,8.8,63.60%,1.00亿,93.97%,7.52,2.84亿,2.58亿,11.38%,6.64亿,4768.25万
2020,23.339,0.8794,26.54,4.3381,5.38,6.55%,5177.82万,32.06%,6.60,2.03亿,2.03亿,9.58%,5.84亿,4470.85万
2019,26.105,0.867,30.11,5.1693,5.05,19.54%,3920.70万,17.30%,6.17,1.81亿,1.83亿,7.75%,5.41亿,4650.61万
2018,17.678,0.867,20.39,4.1891,4.22,45.24%,3342.45万,-33.17%,5.99,1.09亿,1.64亿,7.91%,5.19亿,5123.57万
2017,,,37.31,,2.91,28.97%,5001.40万,8.75%,6.00,2.10亿,1.69亿,17.19%,5.20亿,3535.27万
2016,,,,,2.26,-28.27%,4598.86万,-18.88%,3.96,8193.19万,1.24亿,20.39%,2.58亿,1478.00万
2015,,,,,3.14,31.09%,5669.01万,111.87%,3.26,3860.41万,8251.20万,18.03%,2.12亿,1697.25万
2014,,,,,2.4,46.47%,2675.69万,191.49%,2.38,1152.84万,3149.09万,11.16%,1.55亿,1673.89万
2013,,,,,1.64,45.15%,917.93万,83.63%,1.63,1146.55万,740.98万,5.61%,9759.38万,1266.61万
2012,,,,,1.13,-10.33%,499.89万,-17.21%,1.47,2663.78万,2187.43万,4.43%,8822.46万,1135.08万
2011,,,,,1.26,False,603.77万,False,1.39,1568.28万,1737.53万,4.80%,8332.85万,925.32万
