报告期,总市值,总股本,收盘,市销率,营业总收入(亿),营业总收入同比增长率,净利润(亿),净利润同比增长率,每股净资产,总现金,未分配利润,销售净利率,股东权益,存货
2025-09-30,70.68,13.0165,5.43,0.6244,84.9,-14.89%,3169.34万,132.63%,5.77,25.95亿,19.27亿,0.05%,76.40亿,12.58亿
2024,59.485,13.0165,4.57,0.445,133.67,-27.22%,-4.60亿,-1249.93%,5.74,31.84亿,18.95亿,-3.83%,76.26亿,12.48亿
2023,65.733,13.0165,5.05,0.3579,183.67,-9.70%,3996.47万,-92.74%,6.17,34.50亿,24.92亿,0.06%,81.90亿,10.56亿
2022,66.388,10.1511,6.54,0.3264,203.39,8.05%,5.51亿,-14.58%,5.99,26.52亿,25.53亿,2.54%,62.55亿,8.48亿
2021,72.308,7.8086,9.26,0.3841,188.25,-13.03%,6.45亿,456.21%,7.24,32.34亿,22.19亿,3.45%,58.56亿,8.16亿
2020,33.577,7.8086,4.3,0.1551,216.46,-6.31%,1.16亿,47.13%,6.46,32.74亿,15.76亿,0.49%,52.49亿,6.28亿
2019,32.874,7.8086,4.21,0.1423,231.03,27.48%,7875.69万,-49.25%,6.36,22.40亿,15.01亿,0.10%,50.70亿,6.41亿
2018,29.595,7.8086,3.79,0.1633,181.23,18.56%,1.55亿,51.17%,6.37,27.06亿,15.05亿,0.68%,51.21亿,5.31亿
2017,,,5.93,,152.86,22.27%,1.03亿,86.18%,6.18,15.07亿,13.58亿,0.41%,43.24亿,5.23亿
2016,,,6.37,,125.02,16.80%,5513.83万,237.00%,6.06,24.24亿,12.84亿,0.25%,44.01亿,4.61亿
2015,,,5.59,,107.04,16.55%,1636.16万,-73.01%,5.97,14.23亿,12.33亿,-0.09%,43.70亿,4.25亿
2014,,,4.72,,91.84,0.35%,6061.03万,7.43%,8.33,30.63亿,12.24亿,0.42%,43.82亿,5.79亿
2013,,,3.62,,91.52,57.04%,5641.95万,-13.58%,8.25,20.76亿,12.00亿,0.59%,43.67亿,6.09亿
2012,,,3.25,,58.28,3.05%,6528.29万,214.98%,8.19,20.23亿,11.82亿,1.24%,43.59亿,5.98亿
2011,,,4.38,,56.55,14.07%,2072.58万,-81.47%,8.11,18.28亿,11.55亿,0.57%,42.30亿,7.43亿
2010,,,7.8,,49.58,34.32%,1.12亿,-36.00%,8.20,17.11亿,11.84亿,2.61%,44.15亿,6.57亿
