报告期,总市值,总股本,收盘,市销率,营业总收入(亿),营业总收入同比增长率,净利润(亿),净利润同比增长率,每股净资产,总现金,未分配利润,销售净利率,股东权益,存货
2025-09-30,315.546,19.0432,16.57,1.0797,219.18,1.57%,10.23亿,-35.03%,10.01,6.98亿,112.73亿,4.68%,191.91亿,21.30亿
2024,215.849,19.1017,11.3,0.7252,297.63,17.37%,20.29亿,147.79%,9.78,7.21亿,109.17亿,6.82%,188.16亿,17.37亿
2023,183.79,19.1648,9.59,0.7248,253.58,-16.47%,8.19亿,-74.05%,8.82,3.94亿,91.21亿,3.23%,170.23亿,15.97亿
2022,214.428,19.1968,11.17,0.7064,303.57,-4.52%,31.55亿,-31.68%,9.03,2.95亿,95.24亿,10.40%,174.55亿,16.76亿
2021,231.946,19.0432,12.18,0.7295,317.94,80.73%,46.19亿,459.95%,9.42,3.79亿,102.08亿,14.53%,180.70亿,17.71亿
2020,144.728,14.6486,9.88,0.8227,175.92,-3.37%,8.25亿,-52.22%,7.49,3.64亿,67.52亿,4.69%,143.86亿,18.91亿
2019,111.769,14.6486,7.63,0.6139,182.07,-15.06%,17.26亿,-43.73%,7.64,5.59亿,67.86亿,9.36%,114.58亿,13.01亿
2018,100.05,14.6486,6.83,0.47,212.86,35.04%,30.68亿,57.33%,7.00,5.79亿,60.66亿,14.41%,109.87亿,10.53亿
2017,,,10.93,,157.62,43.96%,19.50亿,671.95%,5.30,7.72亿,37.04亿,12.37%,104.92亿,15.12亿
2016,,,3.84,,109.49,-14.94%,2.53亿,-12.69%,4.06,9.45亿,19.41亿,2.31%,86.41亿,15.47亿
2015,,,4.76,,128.71,-1.22%,2.89亿,-19.87%,3.97,9.73亿,18.20亿,2.25%,79.63亿,14.85亿
2014,,,3.54,,130.29,17.84%,3.61亿,18.03%,4.08,5.44亿,20.53亿,2.77%,59.75亿,14.95亿
2013,,,2.71,,110.56,8.11%,3.06亿,-9.90%,3.83,5.30亿,16.96亿,2.77%,56.11亿,17.43亿
2012,,,2.62,,102.27,9.92%,3.40亿,-19.81%,3.62,9.28亿,14.33亿,3.31%,53.23亿,14.49亿
2011,,,3.82,,93.16,21.22%,4.23亿,99.69%,3.48,7.30亿,12.56亿,4.54%,51.07亿,16.41亿
2010,,,3.94,,76.86,18.80%,2.12亿,51.21%,2.47,9.33亿,8.64亿,2.76%,25.90亿,14.50亿
