报告期,总市值,总股本,收盘,市销率,营业总收入(亿),营业总收入同比增长率,净利润(亿),净利润同比增长率,每股净资产,总现金,未分配利润,销售净利率,股东权益,存货
2025-09-30,38.419,1.9824,19.38,6.701,4.3,-10.23%,7634.17万,-33.47%,11.31,10.79亿,10.75亿,17.75%,23.13亿,2.36亿
2024,41.551,1.9824,20.96,5.8938,7.05,-11.81%,1.74亿,-31.45%,11.22,11.99亿,10.52亿,25.26%,22.91亿,1.82亿
2023,63.294,2.0183,31.36,8.0732,7.84,-5.39%,2.54亿,-8.39%,10.41,15.04亿,9.75亿,32.44%,21.71亿,1.58亿
2022,75.311,1.972,38.19,9.0846,8.29,8.07%,2.78亿,38.32%,9.21,15.55亿,8.16亿,33.47%,19.06亿,1.48亿
2021,65.346,1.525,42.85,8.5197,7.67,20.61%,2.01亿,32.37%,10.50,8.08亿,6.14亿,26.11%,16.20亿,9906.18万
2020,38.098,1.4801,25.74,5.9903,6.36,16.33%,1.52亿,22.45%,8.67,7.19亿,4.69亿,23.85%,13.26亿,9937.75万
2019,31.436,1.4387,21.85,5.747,5.47,6.90%,1.24亿,15.09%,8.15,4.04亿,3.75亿,22.66%,11.72亿,1.10亿
2018,27.247,1.4333,19.01,5.3321,5.11,38.24%,1.08亿,21.12%,6.87,1.66亿,2.93亿,21.05%,9.85亿,1.19亿
2017,,,40.84,,3.7,17.49%,8887.99万,9.76%,6.22,8919.11万,2.25亿,24.02%,8.70亿,1.13亿
2016,,,,,3.15,4.30%,8097.78万,29.27%,4.17,467.55万,1.63亿,25.72%,4.37亿,1.01亿
2015,,,,,3.02,0.11%,6264.39万,-9.54%,3.51,1823.79万,1.02亿,20.75%,3.69亿,7857.29万
2014,,,,,3.02,19.19%,6925.12万,28.13%,3.06,4089.93万,6456.05万,22.96%,3.21亿,5848.15万
2013,,,,,2.53,42.35%,5404.81万,58.86%,2.86,7712.95万,4841.48万,21.36%,2.99亿,5682.03万
2012,,,,,1.78,False,3402.28万,False,2.45,4815.52万,1938.95万,19.14%,1.38亿,5665.67万
