报告期,总市值,总股本,收盘,市销率,营业总收入(亿),营业总收入同比增长率,净利润(亿),净利润同比增长率,每股净资产,总现金,未分配利润,销售净利率,股东权益,存货
2025-09-30,78.416,4.5275,17.32,2.276,25.84,-13.94%,3.82亿,-4.05%,13.59,28.55亿,35.41亿,14.91%,61.94亿,7.24亿
2024,60.668,4.5275,13.4,1.5236,39.82,-10.77%,5.09亿,-2.38%,13.14,24.36亿,33.44亿,12.93%,59.87亿,8.10亿
2023,61.804,4.5278,13.65,1.3851,44.62,9.75%,5.21亿,48.97%,12.65,26.21亿,31.32亿,11.77%,57.66亿,7.08亿
2022,52.04,4.5331,11.48,1.2799,40.66,7.49%,3.50亿,4.73%,11.76,25.48亿,27.62亿,8.67%,53.56亿,5.80亿
2021,53.81,4.5333,11.87,1.4224,37.83,2.95%,3.34亿,-23.85%,11.15,24.24亿,25.48亿,8.83%,50.56亿,5.95亿
2020,54.901,4.5335,12.11,1.4943,36.74,-10.67%,4.39亿,-14.73%,10.59,25.37亿,23.30亿,11.90%,48.02亿,5.72亿
2019,64.33,4.5335,14.19,1.5641,41.13,8.00%,5.15亿,2.19%,10.09,23.59亿,20.11亿,12.52%,45.74亿,6.01亿
2018,58.029,4.5335,12.8,1.5239,38.08,28.54%,5.04亿,37.12%,9.16,3.60亿,16.05亿,13.21%,41.55亿,6.62亿
2017,,,16.62,,29.63,15.51%,3.67亿,48.74%,8.21,14.23亿,12.16亿,12.34%,37.24亿,5.73亿
2016,,,,,25.65,2.72%,2.47亿,0.01%,6.50,4.30亿,9.32亿,9.54%,22.99亿,3.22亿
2015,,,,,24.97,4.55%,2.47亿,12.13%,5.94,2.09亿,7.61亿,9.84%,20.99亿,4.47亿
2014,,,,,23.88,8.27%,2.20亿,5.69%,5.37,1860.89万,5.88亿,9.17%,19.01亿,3.54亿
2013,,,,,22.06,7.52%,2.08亿,-26.62%,4.88,1769.82万,4.37亿,9.39%,17.26亿,3.78亿
2012,,,,,20.52,33.98%,2.84亿,19.81%,4.93,1.78亿,3.19亿,13.84%,15.85亿,3.98亿
2011,,,,,15.31,False,2.37亿,False,4.19,1.43亿,1.08亿,15.47%,13.44亿,2.94亿
