报告期,总市值,总股本,收盘,市销率,营业总收入(亿),营业总收入同比增长率,净利润(亿),净利润同比增长率,每股净资产,总现金,未分配利润,销售净利率,股东权益,存货
2025-09-30,206.672,39.1425,5.28,2.2383,69.25,-3.01%,5185.99万,110.53%,2.02,20.19亿,15.20亿,1.32%,87.24亿,1.69亿
2024,179.273,39.1425,4.58,1.6751,107.02,-1.76%,2.82亿,-44.18%,2.02,30.80亿,15.21亿,3.82%,87.03亿,2.11亿
2023,233.289,39.1425,5.96,2.1414,108.94,26.44%,5.06亿,190.45%,1.97,27.76亿,13.46亿,6.14%,84.10亿,2.27亿
2022,237.986,39.1425,6.08,2.7621,86.16,-7.41%,-5.59亿,-1007.81%,1.90,20.00亿,9.91亿,-5.54%,81.02亿,2.24亿
2021,304.92,39.1425,7.79,3.3086,92.16,16.66%,6157.89万,-88.82%,2.05,22.79亿,17.48亿,1.75%,87.78亿,1.50亿
2020,439.962,39.1425,11.24,5.606,78.48,-8.33%,5.51亿,163.59%,2.04,35.62亿,17.13亿,8.25%,86.72亿,1.34亿
2019,579.364,39.1992,14.78,6.7961,85.25,0.79%,-8.66亿,-205.58%,1.87,47.60亿,11.84亿,-8.37%,81.54亿,1.30亿
2018,384.265,31.2157,12.31,4.5432,84.58,34.64%,8.21亿,40.53%,2.10,24.94亿,21.24亿,11.50%,72.96亿,1.27亿
2017,,,14.98,,62.82,44.48%,5.84亿,29.28%,2.50,23.90亿,14.66亿,11.14%,70.12亿,8718.86万
2016,,,9.02,,43.14,46.65%,4.52亿,73.55%,1.37,13.77亿,9.59亿,12.28%,61.92亿,6076.66万
2015,,,10.56,,21.01,46.89%,2.60亿,85.76%,2.52,11.06亿,5.30亿,13.62%,32.42亿,2465.92万
2014,,,2.77,,14.31,-6.91%,1.40亿,2347.26%,1.73,5.78亿,2.70亿,6.48%,14.94亿,1458.90万
2013,,,1.92,,7.69,9.81%,-623.47万,-109.46%,1.56,3.19亿,4510.07万,-5.95%,4.27亿,6250.95万
2012,,,1.92,,7.01,-10.97%,6588.30万,11.82%,1.86,3.20亿,1.18亿,8.52%,6.02亿,7280.24万
2011,,,2.45,,7.76,40.06%,5892.02万,153.83%,1.69,1.90亿,8898.49万,7.51%,3.96亿,7154.68万
2010,,,2.86,,5.54,8.72%,2321.29万,22.29%,2.02,1.90亿,5302.18万,4.40%,3.48亿,7645.66万
