报告期,总市值,总股本,收盘,市销率,营业总收入(亿),营业总收入同比增长率,净利润(亿),净利润同比增长率,每股净资产,总现金,未分配利润,销售净利率,股东权益,存货
2025-09-30,57.513,0.9658,59.55,7.1062,6.07,8.09%,9556.68万,13.21%,19.89,17.20亿,7.67亿,15.94%,19.26亿,7783.10万
2024,48.126,0.9658,49.83,6.4685,7.44,3.14%,1.40亿,-13.73%,18.97,17.76亿,6.87亿,19.06%,18.36亿,6523.20万
2023,61.334,0.96,63.89,8.5068,7.21,13.15%,1.63亿,43.27%,18.21,17.04亿,5.69亿,22.58%,17.55亿,5126.12万
2022,30.504,0.6,50.84,4.7812,6.38,4.78%,1.13亿,14.32%,26.47,15.22亿,4.29亿,17.93%,15.94亿,5300.66万
2021,,,,,6.08,25.59%,9923.70万,18.37%,9.39,3.62亿,3.44亿,16.49%,4.38亿,4326.61万
2020,,,,,4.84,13.87%,8383.79万,1.46%,7.17,2.94亿,2.48亿,17.61%,3.37亿,2866.65万
2019,,,,,4.25,30.34%,8263.34万,70.91%,5.28,2.74亿,1.67亿,20.29%,2.50亿,2397.49万
2018,,,,,3.26,20.54%,4835.02万,68.00%,3.42,1.93亿,8815.54万,16.08%,1.62亿,1590.59万
2017,,,,,2.71,False,2878.02万,False,2.30,1.03亿,4122.63万,11.82%,1.08亿,946.48万
2015,,,,,1.42,48.29%,2364.83万,63.15%,1.66,6385.78万,1011.28万,16.68%,7467.02万,False
2014,,,,,0.956361,22.29%,1449.51万,21.12%,2.44,5100.24万,2079.87万,15.16%,4703.83万,False
2013,,,,,0.782043,False,1196.72万,False,1.87,2025.33万,770.39万,15.30%,1875.26万,False
