报告期,总市值,总股本,收盘,市销率,营业总收入(亿),营业总收入同比增长率,净利润(亿),净利润同比增长率,每股净资产,总现金,未分配利润,销售净利率,股东权益,存货
2025-09-30,323.102,19.7737,16.34,5.4272,44.65,9.62%,8.19亿,-22.16%,5.80,18.98亿,66.79亿,25.09%,149.47亿,40.35亿
2024,400.022,19.7737,20.23,6.6317,60.32,16.44%,15.49亿,39.58%,5.63,26.86亿,64.11亿,35.02%,145.33亿,38.69亿
2023,417.225,16.4781,25.32,8.0545,51.8,21.57%,11.10亿,25.99%,5.96,45.55亿,51.20亿,29.14%,127.54亿,28.44亿
2022,319.346,16.4781,19.38,7.4946,42.61,3.63%,8.81亿,15.91%,5.34,37.13亿,40.95亿,28.27%,113.56亿,23.32亿
2021,269.553,13.7317,19.63,6.5553,41.12,19.35%,7.60亿,18.94%,5.86,43.30亿,33.58亿,25.99%,102.67亿,21.44亿
2020,353.627,12.5444,28.19,10.262,34.46,4.99%,6.39亿,4.57%,3.60,17.48亿,27.38亿,27.37%,60.31亿,21.72亿
2019,164.332,10.4537,15.72,5.0071,32.82,11.97%,6.11亿,19.94%,3.77,14.13亿,23.70亿,27.25%,51.77亿,19.49亿
2018,86.591,8.7114,9.94,2.9543,29.31,18.03%,5.09亿,-56.57%,3.87,12.50亿,19.78亿,25.11%,43.47亿,17.09亿
2017,,,10.28,,24.83,-17.45%,11.73亿,356.69%,4.54,19.19亿,18.04亿,70.59%,44.50亿,15.82亿
2016,,,10.76,,21.38,29.53%,2.57亿,2474.73%,4.26,6.70亿,13.64亿,14.46%,26.22亿,10.31亿
2015,,,9.54,,16.18,-11.42%,997.72万,-92.23%,3.77,5.64亿,11.30亿,7.14%,22.36亿,9.44亿
2014,,,7.05,,18.27,-0.54%,1.28亿,-65.49%,3.77,9.53亿,11.20亿,12.38%,22.18亿,8.14亿
2013,,,5.81,,18.37,22.24%,3.72亿,22.01%,3.74,6.75亿,11.05亿,25.13%,21.76亿,8.79亿
2012,,,3.4,,15.02,7.74%,3.05亿,30.67%,3.01,4.09亿,7.61亿,24.63%,17.77亿,7.71亿
2011,,,4.36,,13.94,15.98%,2.33亿,33.40%,2.50,3.34亿,5.22亿,20.93%,14.46亿,5.62亿
2010,,,6.18,,12.02,9.27%,1.75亿,-17.36%,2.05,3.22亿,3.58亿,18.58%,11.42亿,5.19亿
