报告期,总市值,总股本,收盘,市销率,营业总收入(亿),营业总收入同比增长率,净利润(亿),净利润同比增长率,每股净资产,总现金,未分配利润,销售净利率,股东权益,存货
2025-09-30,377.548,4.0794,92.55,2.8873,98.07,-5.60%,11.65亿,-58.23%,56.40,44.47亿,176.04亿,10.81%,259.38亿,60.05亿
2024,396.149,4.0798,97.1,2.9418,134.66,-7.55%,25.83亿,-43.01%,56.37,61.22亿,174.83亿,20.11%,261.02亿,47.55亿
2023,554.816,4.0465,137.11,3.809,145.66,15.35%,45.32亿,9.47%,54.55,75.94亿,171.43亿,32.79%,250.32亿,49.56亿
2022,629.623,4.0472,155.57,4.9863,126.27,17.50%,41.41亿,10.19%,44.60,55.79亿,133.86亿,33.38%,208.05亿,46.54亿
2021,1021.918,4.0472,252.5,9.5089,107.47,25.30%,37.57亿,23.33%,36.01,57.49亿,100.16亿,36.27%,172.37亿,43.60亿
2020,1687.601,4.0472,416.98,19.6759,85.77,16.31%,30.47亿,71.64%,27.01,39.75亿,68.74亿,38.57%,123.23亿,30.13亿
2019,419.472,2.0236,207.29,5.6885,73.74,37.19%,17.75亿,76.36%,39.95,39.49亿,42.25亿,31.86%,88.08亿,17.50亿
2018,137.687,1.7011,80.94,2.5616,53.75,31.03%,10.06亿,52.05%,31.13,18.68亿,27.13亿,27.22%,63.26亿,18.33亿
2017,,,84.31,,41.02,41.58%,6.62亿,36.53%,26.02,13.90亿,19.45亿,22.61%,52.00亿,18.40亿
2016,,,51.15,,28.97,20.62%,4.85亿,26.11%,22.93,11.17亿,14.22亿,23.36%,44.50亿,6.76亿
2015,,,47.64,,24.02,6.18%,3.84亿,20.84%,13.54,9.98亿,11.96亿,22.42%,24.35亿,6.79亿
2014,,,34.16,,22.62,10.43%,3.18亿,12.08%,11.12,6.60亿,9.56亿,19.64%,20.45亿,7.07亿
2013,,,42.61,,20.49,16.32%,2.84亿,-5.31%,9.08,6.08亿,7.14亿,20.55%,17.03亿,4.67亿
2012,,,23.9,,17.61,36.04%,3.00亿,173.67%,7.08,4.40亿,4.79亿,22.80%,13.04亿,4.33亿
2011,,,13.69,,12.95,11.03%,1.10亿,26.70%,4.79,2.64亿,1.99亿,12.73%,9.46亿,3.64亿
2010,,,23.78,,11.66,13.91%,8646.14万,18.19%,3.97,2.85亿,8951.91万,10.86%,8.04亿,3.69亿
