报告期,总市值,总股本,收盘,市销率,营业总收入(亿),营业总收入同比增长率,净利润(亿),净利润同比增长率,每股净资产,总现金,未分配利润,销售净利率,股东权益,存货
2025-09-30,206.432,8.7102,23.7,4.07,38.04,12.97%,2900.39万,143.48%,2.23,13.43亿,-1.09亿,0.88%,19.84亿,14.35亿
2024,160.863,8.6953,18.5,4.0125,40.09,-13.83%,-8.10亿,-700.14%,2.06,15.86亿,-1.38亿,-20.38%,18.93亿,17.21亿
2023,160.95,8.6953,18.51,3.4598,46.52,19.87%,1.35亿,-18.80%,3.10,16.63亿,7.26亿,2.85%,28.22亿,13.40亿
2022,187.469,8.6912,21.57,4.8304,38.81,28.49%,1.66亿,36.28%,3.19,12.96亿,6.25亿,4.71%,30.70亿,11.30亿
2021,223.849,8.6864,25.77,7.4122,30.2,20.33%,1.22亿,-4.75%,2.98,13.29亿,4.96亿,5.19%,28.81亿,8.34亿
2020,248.381,8.4026,29.56,9.8957,25.1,58.74%,1.28亿,103.97%,2.07,6.68亿,4.14亿,6.04%,19.87亿,6.38亿
2019,93.178,8.3493,11.16,5.8936,15.81,-2.71%,6281.20万,-37.95%,1.93,7.94亿,2.63亿,6.20%,22.08亿,7.36亿
2018,70.106,8.3759,8.37,4.7985,14.61,35.72%,1.01亿,8.79%,1.93,3.16亿,2.70亿,7.80%,17.16亿,3.55亿
2017,,,10.88,,10.77,58.69%,9305.40万,35.67%,1.84,3.70亿,2.36亿,9.46%,16.29亿,3.17亿
2016,,,10.58,,6.78,40.40%,6858.96万,33.99%,5.27,1.47亿,1.99亿,11.24%,14.70亿,1.70亿
2015,,,11.46,,4.83,-5.61%,5119.05万,16.43%,4.10,3340.96万,1.86亿,10.77%,5.00亿,9358.42万
2014,,,,,5.12,13.72%,4396.58万,-18.43%,3.20,1681.14万,1.53亿,8.32%,2.89亿,7380.53万
2013,,,,,4.5,13.08%,5389.99万,25.12%,2.90,3450.14万,1.27亿,11.98%,2.61亿,7362.28万
2012,,,,,3.98,-17.49%,4307.69万,-30.94%,2.53,3558.38万,9659.19万,10.71%,2.27亿,8389.84万
2011,,,,,4.82,False,6237.35万,False,2.15,3480.58万,6725.12万,13.18%,1.93亿,6217.28万
