报告期,总市值,总股本,收盘,市销率,营业总收入(亿),营业总收入同比增长率,净利润(亿),净利润同比增长率,每股净资产,总现金,未分配利润,销售净利率,股东权益,存货
2025-09-30,30.827,3.2145,9.59,2.6698,8.66,9.45%,-1888.54万,-756.49%,1.74,1.43亿,1.52亿,-2.47%,5.04亿,6055.67万
2024,37.127,3.2145,11.55,3.804,9.76,0.28%,-1983.46万,-182.30%,1.83,2.40亿,1.74亿,-2.64%,5.35亿,5475.37万
2023,38.51,3.2145,11.98,3.9579,9.73,4.94%,2410.08万,131.57%,1.89,2.24亿,2.02亿,2.03%,5.66亿,4855.81万
2022,87.434,3.2145,27.2,9.4319,9.27,28.44%,-7633.65万,-305.64%,1.82,2.72亿,1.79亿,-9.36%,5.81亿,3949.42万
2021,27.805,3.2145,8.65,3.8511,7.22,-1.67%,3712.13万,-61.39%,2.12,1.29亿,2.77亿,3.34%,6.86亿,2586.52万
2020,25.395,3.2145,7.9,3.4598,7.34,25.60%,9613.36万,252.51%,2.01,1.58亿,2.43亿,11.36%,6.50亿,2287.09万
2019,38.188,3.2145,11.88,6.5279,5.85,10.58%,-6303.35万,-1343.79%,1.77,5608.58万,1.55亿,-12.96%,5.84亿,1957.86万
2018,33.784,3.2145,10.51,6.3864,5.29,-12.51%,506.79万,-83.80%,1.98,1.73亿,1.69亿,-0.87%,6.43亿,4292.33万
2017,,,22.65,,6.04,-11.26%,3127.48万,-65.39%,2.09,1.24亿,1.67亿,3.71%,6.89亿,4771.33万
2016,,,33.1,,6.81,3.77%,9036.50万,74.02%,1.84,1.71亿,1.39亿,12.32%,6.41亿,4817.20万
2015,,,55.28,,6.56,-0.96%,5192.71万,721.59%,1.52,1.84亿,6361.15万,6.58%,5.47亿,6535.24万
2014,,,23.51,,6.63,0.39%,632.04万,-35.83%,1.18,1.56亿,1575.19万,2.15%,4.84亿,8054.32万
2013,,,12.4,,6.6,23.25%,984.88万,-40.23%,1.18,1.43亿,3966.33万,4.26%,4.06亿,5245.38万
2012,,,10.58,,5.36,-20.74%,1647.66万,-1.72%,1.32,1.35亿,6666.53万,3.04%,4.06亿,6286.76万
2011,,,8.15,,6.76,6.89%,1676.55万,-27.46%,1.25,1.06亿,5057.16万,3.46%,3.80亿,6820.00万
2010,,,14.29,,6.32,3.58%,2311.08万,-44.46%,1.21,1.13亿,3422.67万,3.36%,3.69亿,7072.06万
