报告期,总市值,总股本,收盘,市销率,营业总收入(亿),营业总收入同比增长率,净利润(亿),净利润同比增长率,每股净资产,总现金,未分配利润,销售净利率,股东权益,存货
2025-09-30,52.68,11.2806,4.67,2.5006,15.8,-1.13%,-2.00亿,-13.18%,-0.13,2.91亿,-27.59亿,-13.58%,-1.42亿,4.73亿
2024,46.138,11.2806,4.09,2.0905,22.07,-5.20%,-1.99亿,19.77%,0.04,3.81亿,-25.59亿,-9.34%,7259.38万,4.49亿
2023,52.68,11.2806,4.67,2.2629,23.28,-10.03%,-2.48亿,-73.27%,0.22,6.15亿,-23.60亿,-11.15%,2.74亿,3.90亿
2022,51.665,11.2806,4.58,1.9963,25.88,-3.21%,-1.43亿,86.13%,0.43,8.94亿,-21.12亿,-5.57%,5.33亿,4.85亿
2021,51.214,11.2806,4.54,1.916,26.73,-48.12%,-10.33亿,2.44%,0.56,9.77亿,-19.69亿,-41.31%,7.22亿,4.34亿
2020,52.68,11.2806,4.67,1.0223,51.53,-29.03%,-10.58亿,-4881.65%,1.47,8.95亿,-9.36亿,-20.74%,17.83亿,4.61亿
2019,92.727,11.2806,8.22,1.2769,72.62,47.21%,2213.37万,-44.66%,2.43,9.04亿,1.22亿,0.44%,29.05亿,9.75亿
2018,59.674,11.2806,5.29,1.2097,49.33,29.66%,3999.68万,111.14%,2.42,9.91亿,1.13亿,1.61%,29.18亿,10.54亿
2017,,,7.97,,38.04,50.03%,-3.59亿,-319.72%,2.38,5.10亿,7897.48万,-9.53%,28.36亿,8.12亿
2016,,,9.41,,25.36,19.74%,1.63亿,-9.78%,1.99,5.44亿,4.95亿,6.73%,22.26亿,7.79亿
2015,,,13.19,,21.18,-4.61%,1.81亿,73.84%,1.85,3.43亿,3.65亿,8.65%,18.83亿,5.32亿
2014,,,5.43,,22.2,78.36%,1.04亿,231.28%,5.06,8.40亿,2.09亿,4.74%,17.15亿,4.45亿
2013,,,3.47,,12.45,38.90%,3145.79万,135.26%,2.78,1.29亿,1.15亿,2.53%,7.90亿,2.97亿
2012,,,3.17,,8.96,8.33%,-8920.45万,-292.27%,2.67,8306.88万,8318.60万,-9.95%,7.59亿,1.91亿
2011,,,2.88,,8.27,57.31%,4639.59万,-29.95%,6.17,1.75亿,2.01亿,5.61%,8.77亿,2.28亿
2010,,,,,5.26,29.80%,6622.89万,18.89%,2.88,8273.59万,1.58亿,12.59%,3.05亿,1.24亿
