报告期,总市值,总股本,收盘,市销率,营业总收入(亿),营业总收入同比增长率,净利润(亿),净利润同比增长率,每股净资产,总现金,未分配利润,销售净利率,股东权益,存货
2025-09-30,42.107,4.169,10.1,2.1082,14.98,-12.13%,4146.04万,12.82%,5.11,12.58亿,2.47亿,2.51%,21.74亿,3.21亿
2024,27.243,4.1783,6.52,1.1442,23.81,6.96%,4697.80万,27.41%,5.06,12.36亿,2.31亿,1.74%,21.61亿,4.74亿
2023,33.239,4.1916,7.93,1.4932,22.26,-2.12%,3687.27万,-19.10%,5.06,11.01亿,2.43亿,1.37%,21.74亿,6.22亿
2022,28.004,4.161,6.73,1.2315,22.74,16.06%,4557.73万,44.23%,5.09,10.93亿,2.61亿,1.82%,21.91亿,8.11亿
2021,22.511,4.161,5.41,1.1485,19.6,22.75%,3159.97万,-32.82%,5.22,9.87亿,3.04亿,1.48%,22.32亿,8.14亿
2020,24.924,4.161,5.99,1.5617,15.96,-2.23%,4703.96万,-23.95%,5.34,8.37亿,3.60亿,2.81%,22.86亿,7.00亿
2019,21.138,4.161,5.08,1.2944,16.33,-14.08%,6185.29万,-23.70%,5.67,10.39亿,5.03亿,3.61%,24.27亿,6.64亿
2018,16.394,4.161,3.94,0.8624,19.01,10.20%,8106.10万,44.56%,5.54,7.76亿,4.54亿,4.08%,23.75亿,5.51亿
2017,,,7.08,,17.25,17.18%,5607.41万,-6.79%,5.36,8.36亿,3.91亿,3.09%,23.06亿,4.57亿
2016,,,10.29,,14.72,6.15%,6015.60万,8.33%,4.81,4.53亿,3.47亿,4.00%,19.34亿,4.17亿
2015,,,16.09,,13.86,11.99%,5552.85万,22.32%,4.51,2.48亿,3.01亿,3.82%,14.28亿,4.89亿
2014,,,9.83,,12.38,9.35%,4539.53万,-14.00%,4.38,2.50亿,2.67亿,3.59%,13.90亿,5.75亿
2013,,,6.03,,11.32,11.93%,5278.23万,41.42%,8.55,2.02亿,2.41亿,4.62%,13.34亿,5.89亿
2012,,,4.79,,10.12,-2.41%,3732.18万,-31.04%,7.52,1.32亿,1.94亿,3.79%,9.58亿,4.76亿
2011,,,4.24,,10.37,12.21%,5412.32万,9.57%,7.30,2.04亿,1.72亿,5.33%,9.33亿,3.76亿
2010,,,7.19,,9.24,13.01%,4939.52万,-18.65%,6.95,3.30亿,1.35亿,5.49%,8.90亿,2.39亿
