报告期,总市值,总股本,收盘,市销率,营业总收入(亿),营业总收入同比增长率,净利润(亿),净利润同比增长率,每股净资产,总现金,未分配利润,销售净利率,股东权益,存货
2025-09-30,182.762,25.0703,7.29,10.2064,13.43,-3.74%,3549.07万,40.16%,0.99,12.44亿,-37.36亿,2.82%,25.66亿,3.86亿
2024,103.791,25.0703,4.14,5.282,19.65,-0.42%,3947.43万,4.29%,0.98,11.28亿,-37.72亿,2.04%,25.28亿,4.54亿
2023,90.253,25.0703,3.6,4.5744,19.73,-40.82%,3785.12万,-87.85%,0.96,10.78亿,-38.11亿,1.62%,24.96亿,5.08亿
2022,80.977,25.0703,3.23,2.4288,33.34,-27.07%,3.12亿,168.82%,0.95,15.20亿,-38.49亿,9.18%,24.79亿,5.34亿
2021,77.718,25.0703,3.1,1.7002,45.71,3.11%,-4.53亿,-204.91%,0.87,20.03亿,-41.82亿,-9.87%,23.05亿,11.44亿
2020,85.991,25.0703,3.43,1.9398,44.33,-22.58%,4.31亿,125.68%,1.08,17.52亿,-36.43亿,9.77%,28.44亿,9.69亿
2019,43.547,9.8522,4.42,0.7605,57.26,-11.34%,-16.80亿,49.01%,-1.66,14.97亿,-40.60亿,-59.31%,15.95亿,39.63亿
2018,31.942,9.8892,3.23,0.9674,33.02,-39.35%,-32.95亿,-6064.90%,0.05,8.19亿,-26.32亿,-100.85%,2.90亿,45.67亿
2017,,,9.11,,54.45,-24.14%,5523.91万,-84.27%,3.39,5.57亿,6.81亿,0.57%,35.75亿,54.28亿
2016,,,10.36,,71.78,41.53%,3.51亿,-6.66%,3.61,7.51亿,9.87亿,4.57%,38.16亿,30.69亿
2015,,,14.39,,50.72,137.65%,3.76亿,482.01%,3.31,7.07亿,7.82亿,7.65%,33.65亿,15.98亿
2014,,,7.97,,21.34,-0.39%,6462.78万,12.52%,2.94,3.93亿,4.34亿,3.64%,30.11亿,9.29亿
2013,,,5.55,,21.42,6.37%,5743.90万,-45.32%,1.60,2.17亿,3.92亿,3.14%,12.71亿,3.91亿
2012,,,4.52,,20.14,1.97%,1.05亿,-30.65%,1.55,2.23亿,3.81亿,6.01%,12.28亿,2.92亿
2011,,,5.3,,19.75,32.73%,1.51亿,62.92%,1.89,3.08亿,4.22亿,9.23%,12.77亿,2.67亿
2010,,,9.49,,14.88,13.37%,9296.51万,36.07%,1.73,3.37亿,3.12亿,7.09%,11.82亿,2.31亿
