报告期,总市值,总股本,收盘,市销率,营业总收入(亿),营业总收入同比增长率,净利润(亿),净利润同比增长率,每股净资产,总现金,未分配利润,销售净利率,股东权益,存货
2025-09-30,52.143,2.8952,18.01,2.4565,15.92,13.03%,6888.29万,49.45%,7.17,7.70亿,6.60亿,2.37%,19.84亿,3.62亿
2024,46.844,2.8952,16.18,2.3961,19.55,10.23%,-7347.41万,-276.00%,6.94,6.66亿,5.91亿,-6.42%,19.46亿,4.43亿
2023,61.378,2.8952,21.2,3.4599,17.74,-11.27%,4174.59万,-63.68%,7.21,6.22亿,6.86亿,1.43%,20.76亿,4.46亿
2022,132.195,2.8952,45.66,6.6131,19.99,4.07%,1.15亿,-30.10%,7.10,5.71亿,6.66亿,5.70%,20.55亿,3.01亿
2021,35.814,2.8766,12.45,1.8653,19.2,8.51%,1.64亿,21.70%,6.70,7.46亿,5.76亿,8.56%,19.28亿,3.79亿
2020,49.781,2.8626,17.39,2.8125,17.7,15.38%,1.35亿,81.85%,6.18,6.99亿,4.64亿,7.63%,17.69亿,3.48亿
2019,34.119,2.4778,13.77,2.2242,15.34,34.20%,7428.88万,-22.86%,4.19,1.94亿,3.60亿,4.84%,10.38亿,2.64亿
2018,24.783,2.4417,10.15,2.1682,11.43,70.95%,9630.14万,23.83%,3.82,2.65亿,3.09亿,8.43%,9.71亿,2.20亿
2017,,,20.93,,6.69,14.88%,7776.63万,-13.60%,6.21,2.26亿,2.37亿,11.63%,8.92亿,8692.74万
2016,,,,,5.82,44.62%,9000.92万,48.37%,3.57,4420.87万,1.74亿,15.46%,3.84亿,6210.05万
2015,,,,,4.02,26.30%,6066.50万,42.67%,2.76,3022.80万,9537.78万,15.07%,2.98亿,6922.67万
2014,,,,,3.19,25.71%,4252.15万,51.12%,1.94,1826.85万,3844.22万,13.34%,1.87亿,3344.17万
2013,,,,,2.54,32.09%,2813.77万,60.54%,1.81,3326.69万,4858.34万,11.10%,1.36亿,2652.20万
2012,,,,,1.92,False,1752.72万,False,1.44,1266.14万,2340.58万,9.13%,1.08亿,3637.94万
