报告期,总市值,总股本,收盘,市销率,营业总收入(亿),营业总收入同比增长率,净利润(亿),净利润同比增长率,每股净资产,总现金,未分配利润,销售净利率,股东权益,存货
2025-09-30,119.344,17.9465,6.65,4.4979,19.9,-15.46%,1278.45万,-91.65%,1.27,8.44亿,-12.75亿,0.38%,22.67亿,4.30亿
2024,112.658,18.0541,6.24,3.5833,31.44,8.76%,9709.00万,117.44%,1.33,9.80亿,-12.64亿,2.64%,23.40亿,2.51亿
2023,89.368,18.0541,4.95,3.0912,28.91,0.58%,4465.14万,-57.56%,1.25,7.59亿,-13.61亿,1.03%,21.95亿,2.42亿
2022,68.79,18.2467,3.77,2.3935,28.74,-31.04%,1.05亿,1091.44%,1.22,5.77亿,-14.06亿,3.30%,21.91亿,2.99亿
2021,70.797,18.2467,3.88,1.6986,41.68,17.81%,883.07万,-99.17%,1.22,8.69亿,-15.11亿,-1.07%,21.96亿,4.19亿
2020,78.826,18.2467,4.32,2.228,35.38,0.06%,10.65亿,134.90%,1.24,11.75亿,-14.94亿,29.90%,22.51亿,4.88亿
2019,113.463,20.3339,5.58,3.2088,35.36,5.46%,-30.53亿,-292.80%,1.07,9.20亿,-25.79亿,-86.46%,21.82亿,4.92亿
2018,75.565,20.6463,3.66,2.2543,33.52,4.23%,-7.77亿,-275.31%,2.53,9.12亿,4.73亿,-23.37%,52.33亿,4.48亿
2017,,,7.93,,32.1,52.59%,4.43亿,15.06%,4.16,5.78亿,13.52亿,13.85%,61.63亿,8.28亿
2016,,,9.15,,21.04,21.98%,3.85亿,31.33%,2.28,8.36亿,9.93亿,18.38%,28.40亿,4.14亿
2015,,,15.41,,17.24,59.61%,2.93亿,101.72%,4.02,6.10亿,6.93亿,17.04%,24.86亿,2.71亿
2014,,,5.36,,10.8,2.01%,1.45亿,11.27%,3.62,5.79亿,4.50亿,13.46%,10.95亿,1.17亿
2013,,,4.76,,10.59,34.56%,1.31亿,72.64%,6.62,6.51亿,3.58亿,12.35%,9.94亿,1.02亿
2012,,,0.97,,7.87,-2.74%,7570.38万,-19.83%,5.95,5.56亿,2.71亿,9.57%,8.93亿,9737.08万
2011,,,,,8.09,22.25%,9442.63万,7.67%,3.67,1.70亿,2.27亿,11.60%,4.14亿,8980.34万
2010,,,,,6.62,41.61%,8769.91万,16.14%,3.15,1.43亿,1.76亿,13.20%,3.56亿,7848.66万
