报告期,总市值,总股本,收盘,市销率,营业总收入(亿),营业总收入同比增长率,净利润(亿),净利润同比增长率,每股净资产,总现金,未分配利润,销售净利率,股东权益,存货
2025-09-30,43.236,4.2681,10.13,2.8321,11.45,8.97%,1270.99万,-81.87%,4.54,2.55亿,6.69亿,1.11%,19.39亿,10.61亿
2024,34.785,4.2681,8.15,2.3728,14.66,34.46%,7349.56万,2.08%,4.54,2.39亿,6.68亿,5.01%,19.38亿,8.74亿
2023,40.462,4.2681,9.48,3.7121,10.9,17.13%,7199.48万,5.33%,4.49,4.25亿,6.18亿,6.61%,19.14亿,7.18亿
2022,36.181,3.2832,11.02,3.8863,9.31,35.75%,6835.09万,43.22%,5.66,4.88亿,5.59亿,7.34%,18.59亿,5.79亿
2021,31.699,2.635,12.03,4.6208,6.86,29.48%,4772.49万,11.29%,4.20,7152.01万,4.91亿,6.96%,11.06亿,4.62亿
2020,19.051,2.635,7.23,3.6013,5.29,13.86%,4288.31万,1.36%,4.10,9109.78万,4.34亿,8.10%,10.81亿,3.73亿
2019,12.732,2.0339,6.26,2.7381,4.65,7.06%,4230.60万,-2.45%,3.74,4980.76万,3.94亿,9.10%,7.61亿,2.92亿
2018,7.291,1.5646,4.66,1.68,4.34,16.10%,4336.81万,-12.14%,4.67,1.13亿,3.69亿,9.98%,7.31亿,2.56亿
2017,,,6.41,,3.74,9.97%,4936.05万,-0.37%,5.84,1.53亿,3.44亿,13.19%,7.03亿,2.12亿
2016,,,14.51,,3.4,7.85%,4954.35万,26.70%,5.56,2.08亿,3.14亿,14.56%,6.69亿,1.98亿
2015,,,,,3.15,-4.07%,3910.18万,-21.27%,4.98,3476.98万,2.70亿,12.40%,4.49亿,1.95亿
2014,,,,,3.29,6.25%,4966.66万,1.69%,4.54,3690.90万,2.34亿,15.11%,4.10亿,1.76亿
2013,,,,,3.09,25.01%,4884.15万,3.19%,3.99,2616.90万,1.90亿,15.78%,3.60亿,1.45亿
2012,,,,,2.48,22.72%,4733.14万,14.47%,3.45,2928.46万,1.45亿,19.12%,3.11亿,1.23亿
2011,,,,,2.02,False,4134.85万,False,2.83,3405.00万,1.26亿,20.50%,2.27亿,7751.56万
