报告期,总市值,总股本,收盘,市销率,营业总收入(亿),营业总收入同比增长率,净利润(亿),净利润同比增长率,每股净资产,总现金,未分配利润,销售净利率,股东权益,存货
2025-09-30,30.484,1.9604,15.55,2.5574,8.94,10.10%,7060.36万,-36.89%,7.36,8.25亿,4.97亿,8.17%,16.25亿,8100.00
2024,34.072,1.9604,17.38,2.9196,11.67,-22.55%,1.25亿,-22.33%,7.35,9.86亿,4.95亿,12.37%,16.21亿,461.47万
2023,24.995,1.9604,12.75,1.6586,15.07,-17.46%,1.61亿,43.82%,7.48,11.36亿,5.27亿,12.56%,16.66亿,False
2022,23.035,1.9604,11.75,1.2622,18.25,-36.54%,1.12亿,6.48%,6.96,11.42亿,4.35亿,7.92%,15.80亿,False
2021,31.386,1.9604,16.01,1.0913,28.76,51.87%,1.05亿,-39.20%,6.71,11.40亿,3.89亿,4.54%,14.98亿,False
2020,31.463,1.9603,16.05,1.6612,18.94,58.55%,1.73亿,27.24%,6.55,11.92亿,3.75亿,10.09%,14.46亿,51.39万
2019,36.011,1.9603,18.37,3.0135,11.95,30.41%,1.36亿,7.98%,5.87,6.76亿,2.60亿,12.42%,11.78亿,1696.95万
2018,,,,,9.16,54.57%,1.26亿,24.69%,3.99,1.52亿,1.82亿,14.67%,6.07亿,2116.49万
2017,,,,,5.93,24.65%,1.01亿,9.17%,3.32,1.11亿,9815.50万,17.92%,5.00亿,2143.34万
2016,,,,,4.75,5.45%,9264.37万,164.39%,2.73,1.85亿,7698.20万,20.23%,3.63亿,67.74万
2015,,,,,4.51,0.88%,3504.06万,-21.13%,2.10,1.64亿,1997.92万,7.98%,2.56亿,False
2014,,,,,4.47,28.05%,4442.63万,46.98%,7.63,2457.14万,6726.64万,9.92%,9878.09万,False
2013,,,,,3.49,False,3022.66万,False,3.87,587.62万,3241.43万,8.66%,5807.81万,False
