报告期,总市值,总股本,收盘,市销率,营业总收入(亿),营业总收入同比增长率,净利润(亿),净利润同比增长率,每股净资产,总现金,未分配利润,销售净利率,股东权益,存货
2025-09-30,26.001,1.3334,19.5,4.4522,4.38,-2.09%,1590.49万,-1.21%,4.90,9.85亿,3.17亿,4.38%,6.71亿,2327.59万
2024,16.374,1.3334,12.28,2.4294,6.74,-14.07%,4068.12万,4.08%,5.03,9.14亿,3.33亿,6.74%,6.89亿,2073.08万
2023,19.041,1.3334,14.28,2.4287,7.84,-5.33%,3908.81万,106.28%,5.11,8.39亿,3.33亿,5.53%,6.99亿,1438.35万
2022,14.641,1.3334,10.98,1.7682,8.28,-6.35%,1894.87万,-34.98%,4.94,8.14亿,3.15亿,2.88%,6.79亿,1556.10万
2021,13.254,1.3334,9.94,1.4993,8.84,1.99%,2914.24万,30.13%,4.94,6.24亿,3.19亿,3.90%,6.79亿,1659.06万
2020,13.187,1.3334,9.89,1.521,8.67,-3.44%,2239.44万,-7.58%,4.85,6.47亿,3.07亿,2.97%,6.63亿,2154.10万
2019,17.241,1.3334,12.93,1.9199,8.98,17.57%,2423.23万,-47.25%,4.81,5.91亿,3.05亿,3.03%,6.56亿,3382.06万
2018,18.374,1.3334,13.78,2.405,7.64,2.64%,4593.81万,-10.94%,4.79,4.92亿,3.05亿,6.33%,6.52亿,3659.02万
2017,,,20.8,,7.44,7.72%,5157.96万,1.98%,4.56,5.91亿,2.80亿,6.98%,6.13亿,2981.16万
2016,,,28.47,,6.91,2.60%,5057.89万,5.18%,8.54,6.16亿,2.51亿,7.32%,5.69亿,2370.28万
2015,,,,,6.73,-4.46%,4808.69万,-4.15%,6.07,4.08亿,2.19亿,7.14%,3.04亿,2595.77万
2014,,,,,7.05,6.41%,5017.02万,-1.22%,5.41,3.05亿,1.89亿,7.12%,2.70亿,2355.06万
2013,,,,,6.62,21.22%,5079.11万,6.08%,4.71,2.59亿,1.58亿,7.67%,2.35亿,2594.12万
2012,,,,,5.46,3.64%,4787.80万,-11.00%,3.99,1.53亿,1.25亿,8.76%,2.00亿,2307.48万
2011,,,,,5.27,25.94%,5379.56万,19.48%,3.33,1.50亿,9727.59万,10.20%,1.67亿,2221.87万
2010,,,,,4.19,48.41%,4502.48万,57.04%,2.26,1.07亿,5590.16万,10.75%,1.13亿,1437.90万
