报告期,总市值,总股本,收盘,市销率,营业总收入(亿),营业总收入同比增长率,净利润(亿),净利润同比增长率,每股净资产,总现金,未分配利润,销售净利率,股东权益,存货
2025-09-30,39.068,10.8521,3.6,7.2707,4.03,-12.24%,-9443.70万,-14.24%,0.78,6410.71万,-23.21亿,-24.22%,7.83亿,1.32亿
2024,29.735,10.8521,2.74,4.6753,6.36,-10.47%,-2.57亿,-59.62%,0.86,1.17亿,-22.27亿,-41.35%,8.82亿,1.34亿
2023,40.689,10.8795,3.74,5.7228,7.11,-15.45%,-1.61亿,76.61%,1.10,1.60亿,-19.71亿,-25.14%,11.47亿,1.53亿
2022,63.863,10.8795,5.87,7.5937,8.41,23.15%,-6.87亿,-3.73%,1.24,1.45亿,-18.11亿,-100.15%,13.24亿,1.72亿
2021,118.587,10.8795,10.9,17.3627,6.83,10.80%,-6.62亿,-269.09%,1.87,2.14亿,-11.23亿,-98.41%,21.62亿,1.80亿
2020,25.458,10.8795,2.34,4.1328,6.16,-47.46%,-1.79亿,-630.86%,2.49,2.60亿,-4.61亿,-29.42%,28.42亿,1.74亿
2019,25.533,8.7743,2.91,2.1767,11.73,-6.04%,3380.86万,104.28%,2.77,3.59亿,-2.70亿,3.19%,25.70亿,6.57亿
2018,26.674,8.7743,3.04,2.1373,12.48,-32.83%,-7.90亿,-977.04%,2.73,1.74亿,-3.04亿,-63.15%,25.22亿,9.11亿
2017,,,5.48,,18.58,6.23%,9005.72万,-42.12%,3.63,7.17亿,4.86亿,4.98%,32.10亿,13.28亿
2016,,,7.82,,17.49,28.84%,1.56亿,28.27%,3.56,8.50亿,4.22亿,8.99%,31.46亿,10.63亿
2015,,,7.62,,13.57,93.40%,1.21亿,286.93%,6.03,2.75亿,2.84亿,9.09%,20.12亿,7.97亿
2014,,,5.09,,7.02,6.26%,3135.05万,-17.14%,5.66,1.84亿,1.63亿,5.00%,18.94亿,7.45亿
2013,,,3.09,,6.61,7.00%,3783.64万,-8.11%,4.23,1.92亿,1.43亿,6.09%,8.34亿,1.86亿
2012,,,3.53,,6.17,5.43%,4117.52万,208.95%,7.55,3.48亿,1.39亿,7.08%,8.28亿,1.63亿
2011,,,2.44,,5.86,47.03%,1332.75万,-55.86%,6.04,1.31亿,1.10亿,2.95%,5.38亿,1.47亿
2010,,,5.57,,3.98,30.18%,3019.27万,1.57%,9.53,1.66亿,1.03亿,8.74%,5.37亿,1.25亿
