报告期,总市值,总股本,收盘,市销率,营业总收入(亿),营业总收入同比增长率,净利润(亿),净利润同比增长率,每股净资产,总现金,未分配利润,销售净利率,股东权益,存货
2025-09-30,440.14,27.9454,15.75,1.1408,289.36,-6.58%,25.00亿,1.66%,10.79,21.07亿,215.91亿,8.66%,302.73亿,43.57亿
2024,403.532,27.9454,14.44,0.9908,407.27,2.99%,31.01亿,0.50%,10.24,32.34亿,199.30亿,7.64%,287.27亿,47.52亿
2023,323.611,27.9457,11.58,0.8184,395.44,-0.56%,30.86亿,9.86%,9.32,24.95亿,176.67亿,7.84%,261.55亿,45.74亿
2022,300.727,27.9486,10.76,0.7562,397.67,23.66%,28.09亿,-4.12%,8.26,23.91亿,152.19亿,7.08%,231.75亿,53.39亿
2021,283.479,26.87,10.55,0.8815,321.59,48.21%,29.29亿,49.99%,6.90,34.68亿,130.28亿,9.27%,187.86亿,35.06亿
2020,345.207,26.2515,13.15,1.599,215.89,-5.16%,19.53亿,-10.33%,6.07,29.70亿,105.94亿,9.12%,162.39亿,28.97亿
2019,230.149,25.9177,8.88,1.0111,227.63,4.57%,21.78亿,-2.66%,5.53,25.42亿,91.00亿,9.65%,147.00亿,24.56亿
2018,131.445,25.926,5.07,0.6038,217.68,15.21%,22.38亿,10.54%,4.75,19.71亿,72.41亿,10.30%,126.28亿,21.68亿
2017,,,8.17,,188.94,30.71%,20.24亿,91.55%,3.89,24.37亿,53.86亿,11.91%,108.24亿,15.25亿
2016,,,5.84,,144.55,33.54%,10.57亿,58.52%,3.14,10.43亿,35.76亿,8.01%,83.40亿,11.39亿
2015,,,4.88,,108.25,3.51%,6.67亿,42.20%,2.75,15.28亿,27.37亿,6.98%,73.94亿,14.00亿
2014,,,3.48,,104.58,-4.01%,4.69亿,64.71%,2.36,14.30亿,22.33亿,5.23%,58.25亿,11.24亿
2013,,,2.52,,108.95,4.67%,2.85亿,61.40%,4.43,16.91亿,19.09亿,2.92%,55.22亿,13.42亿
2012,,,2.14,,104.09,18.79%,1.76亿,-64.68%,3.93,8.65亿,17.83亿,2.11%,44.56亿,12.86亿
2011,,,3.29,,87.62,9.02%,4.99亿,-21.54%,3.86,13.15亿,17.53亿,6.42%,45.28亿,12.48亿
2010,,,4.48,,80.37,34.83%,6.36亿,32.90%,3.53,8.46亿,14.49亿,9.36%,42.21亿,7.50亿
