报告期,总市值,总股本,收盘,市销率,营业总收入(亿),营业总收入同比增长率,净利润(亿),净利润同比增长率,每股净资产,总现金,未分配利润,销售净利率,股东权益,存货
2025-09-30,27.299,3.2004,8.53,3.3076,6.19,-44.12%,-2006.19万,-173.05%,3.97,5.12亿,1.91亿,-4.46%,13.17亿,7119.76万
2024,24.259,3.2004,7.58,1.7365,13.97,-12.77%,-5237.68万,76.40%,4.03,5.21亿,2.11亿,-0.32%,13.53亿,8205.10万
2023,37.989,3.2004,11.87,2.3728,16.01,-17.07%,-2.22亿,-356.29%,4.23,5.67亿,2.75亿,-18.34%,13.76亿,9632.10万
2022,46.15,3.2004,14.42,2.3912,19.3,-34.25%,8659.11万,-18.58%,4.94,9.07亿,5.03亿,5.30%,16.80亿,9550.04万
2021,30.316,2.52,12.03,1.0326,29.36,56.57%,1.06亿,5.00%,3.01,2.99亿,4.19亿,4.30%,8.45亿,1.15亿
2020,26.676,1.8,14.82,1.4227,18.75,50.35%,1.01亿,52.18%,3.72,2.97亿,3.30亿,6.81%,7.47亿,9650.45万
2019,15.885,1.5,10.59,1.2739,12.47,124.70%,6656.24万,136.77%,4.03,2.36亿,2.71亿,6.82%,6.68亿,8068.91万
2018,10.545,1.5,7.03,1.9,5.55,26.68%,2811.23万,24.34%,3.62,1.55亿,2.12亿,5.59%,5.67亿,7477.41万
2017,,,12.92,,4.38,13.09%,2260.87万,-15.63%,3.46,1.33亿,1.89亿,5.12%,5.31亿,8695.44万
2016,,,19.45,,3.88,-3.13%,2679.60万,-23.09%,5.16,1.12亿,2.39亿,6.92%,5.16亿,6797.77万
2015,,,,,4.0,2.09%,3484.13万,-8.65%,4.25,5449.32万,2.15亿,8.71%,3.19亿,4676.74万
2014,,,,,3.92,8.85%,3814.23万,5.90%,3.76,5559.26万,1.84亿,9.73%,2.82亿,4852.91万
2013,,,,,3.6,0.61%,3601.56万,-5.24%,3.25,3627.06万,1.49亿,10.01%,2.44亿,4238.37万
2012,,,,,3.58,7.65%,3800.59万,9.10%,2.77,3788.54万,1.17亿,10.62%,2.08亿,4408.24万
2011,,,,,3.32,6.99%,3483.70万,8.65%,2.26,6165.99万,8246.21万,10.48%,1.69亿,4779.78万
2010,,,,,3.11,20.24%,3206.28万,31.53%,1.79,3918.19万,5074.39万,10.32%,1.35亿,4838.13万
