报告期,总市值,总股本,收盘,市销率,营业总收入(亿),营业总收入同比增长率,净利润(亿),净利润同比增长率,每股净资产,总现金,未分配利润,销售净利率,股东权益,存货
2025-09-30,362.33,12.6028,28.75,6.959,39.05,-7.64%,11.19亿,-8.95%,7.13,46.15亿,45.71亿,28.65%,89.91亿,4.26亿
2024,267.018,12.6549,21.1,4.4077,60.58,-1.69%,17.22亿,17.35%,7.91,68.10亿,57.96亿,28.43%,100.15亿,7.67亿
2023,232.977,12.6549,18.41,3.7809,61.62,4.03%,14.67亿,-0.46%,8.73,72.32亿,60.13亿,23.82%,110.56亿,8.96亿
2022,227.788,12.6549,18.0,3.8458,59.23,-14.24%,14.74亿,-30.16%,9.10,90.29亿,67.39亿,24.89%,115.18亿,6.38亿
2021,266.259,12.6549,21.04,3.8555,69.06,55.99%,21.11亿,33.78%,9.85,110.81亿,77.96亿,30.57%,124.65亿,8.42亿
2020,233.103,12.6549,18.42,5.2655,44.27,-40.65%,15.78亿,-41.46%,9.35,103.86亿,72.04亿,35.64%,118.38亿,7.47亿
2019,169.26,10.5458,16.05,2.2692,74.59,-8.41%,26.95亿,-4.99%,11.77,98.84亿,79.68亿,36.13%,124.13亿,7.35亿
2018,116.908,7.5327,15.52,1.4355,81.44,5.21%,28.37亿,22.82%,15.89,38.78亿,76.45亿,34.83%,119.70亿,7.57亿
2017,,,,,77.41,-13.03%,23.10亿,-15.72%,14.82,5.61亿,65.51亿,29.84%,73.37亿,8.87亿
2016,,,,,89.0,-2.38%,27.41亿,4.61%,12.07,6.50亿,52.31亿,30.79%,59.74亿,6.98亿
2015,,,,,91.17,10.35%,26.20亿,43.13%,11.39,25.07亿,48.96亿,28.74%,56.39亿,6.96亿
2014,,,,,82.62,11.17%,18.31亿,15.70%,7.35,3.39亿,28.95亿,22.16%,36.37亿,9.43亿
2013,,,,,74.31,False,15.82亿,False,4.65,5.99亿,16.26亿,21.29%,23.02亿,5.07亿
2010,,,,,10.77,105.20%,1.65亿,94.87%,2.61,3.46亿,1.01亿,15.31%,2.24亿,8769.94万
