报告期,总市值,总股本,收盘,市销率,营业总收入(亿),营业总收入同比增长率,净利润(亿),净利润同比增长率,每股净资产,总现金,未分配利润,销售净利率,股东权益,存货
2025-09-30,263.279,27.8014,9.47,1.9677,100.35,-4.29%,19.89亿,12.17%,9.44,63.20亿,123.75亿,24.10%,328.66亿,5.37亿
2024,266.337,27.8014,9.58,1.8289,145.63,-0.90%,27.93亿,6.47%,9.09,56.45亿,114.51亿,23.91%,319.04亿,5.83亿
2023,196.923,25.4094,7.75,1.3401,146.95,2.63%,26.23亿,1.11%,8.54,58.31亿,95.25亿,21.76%,279.53亿,6.64亿
2022,143.856,19.5457,7.36,1.0047,143.18,17.79%,25.95亿,90.89%,10.11,39.72亿,83.74亿,22.93%,245.27亿,6.96亿
2021,218.127,19.5454,11.16,1.7944,121.56,26.37%,13.59亿,-9.10%,8.93,29.15亿,63.18亿,12.63%,217.05亿,5.29亿
2020,93.476,17.6038,5.31,0.9781,95.57,-3.90%,14.95亿,20.21%,8.52,21.01亿,55.35亿,16.69%,186.09亿,4.45亿
2019,92.334,15.5183,5.95,0.9284,99.45,6.32%,12.44亿,18.42%,7.84,47.58亿,45.28亿,13.27%,145.56亿,4.14亿
2018,83.178,15.5183,5.36,0.8892,93.54,37.57%,10.50亿,24.52%,7.25,52.75亿,37.26亿,11.57%,132.21亿,5.40亿
2017,,,4.65,,67.99,6.88%,8.44亿,-16.86%,6.77,24.28亿,30.43亿,12.49%,111.15亿,3.65亿
2016,,,6.68,,63.62,-11.12%,10.15亿,-4.58%,6.43,23.48亿,25.72亿,16.82%,105.65亿,3.28亿
2015,,,10.19,,71.58,23.21%,10.63亿,33.69%,5.25,12.70亿,19.56亿,15.70%,70.08亿,3.24亿
2014,,,5.52,,58.09,0.74%,7.95亿,7.60%,4.60,12.42亿,12.41亿,13.77%,61.21亿,3.53亿
2013,,,3.8,,57.67,-11.08%,7.39亿,3152.30%,2.57,9.24亿,5.19亿,1.98%,39.16亿,1.19亿
2012,,,3.23,,13.27,-14.91%,2272.93万,-57.46%,2.61,1.03亿,8515.24万,1.86%,7.78亿,1.91亿
2011,,,2.96,,15.59,34.57%,5342.98万,109.79%,2.62,1.51亿,9335.22万,3.59%,7.81亿,2.37亿
2010,,,4.21,,11.59,18.24%,2546.81万,37.48%,2.52,1.46亿,5340.14万,2.43%,7.52亿,1.35亿
