报告期,总市值,总股本,收盘,市销率,营业总收入(亿),营业总收入同比增长率,净利润(亿),净利润同比增长率,每股净资产,总现金,未分配利润,销售净利率,股东权益,存货
2025-09-30,45.951,5.0001,9.19,5.8811,5.86,3.60%,1.86亿,0.07%,4.26,4.91亿,8.28亿,31.75%,22.76亿,1714.23万
2024,43.951,5.0001,8.79,6.379,6.89,0.39%,1.94亿,-12.07%,4.09,3.88亿,7.42亿,28.10%,21.90亿,1121.95万
2023,55.55,5.0,11.11,8.0977,6.86,5.59%,2.20亿,14.99%,3.85,6.85亿,6.30亿,32.08%,20.71亿,3093.71万
2022,70.15,5.0,14.03,10.7923,6.5,46.00%,1.91亿,74.04%,3.53,2.53亿,4.71亿,29.47%,17.67亿,1483.64万
2021,78.6,5.0,15.72,17.6629,4.45,4.31%,1.10亿,36.01%,3.22,1.20亿,3.24亿,24.71%,16.09亿,3547.09万
2020,43.4,5.0,8.68,10.1639,4.27,10.24%,8088.60万,92.05%,3.06,6987.21万,2.81亿,18.95%,15.32亿,5074.46万
2019,33.6,5.0,6.72,8.6822,3.87,0.76%,4211.80万,-36.34%,2.90,1.74亿,2.08亿,10.88%,14.51亿,5109.13万
2018,60.95,5.0,12.19,15.8724,3.84,-58.97%,6616.27万,-43.15%,2.92,3.35亿,2.15亿,17.22%,14.59亿,1.36亿
2017,,,,,9.36,-18.48%,1.16亿,49.76%,2.47,3.09亿,1.51亿,12.43%,10.19亿,2.61亿
2016,,,,,11.49,-28.34%,7771.28万,-35.43%,2.18,3.46亿,4973.96万,6.76%,9.00亿,2.07亿
2015,,,,,16.03,84.40%,1.20亿,843.05%,1.08,4.17亿,-1633.45万,7.47%,4.46亿,2.02亿
2014,,,,,8.69,129.14%,1276.32万,125.55%,-0.06,2587.84万,-1.37亿,1.29%,-2266.38万,1.53亿
2013,,,,,3.79,False,-4994.57万,False,-0.34,620.76万,-1.46亿,-13.35%,-3036.46万,5297.99万
