报告期,总市值,总股本,收盘,市销率,营业总收入(亿),营业总收入同比增长率,净利润(亿),净利润同比增长率,每股净资产,总现金,未分配利润,销售净利率,股东权益,存货
2025-09-30,378.96,33.0969,11.45,0.7721,368.09,-32.27%,-35.53亿,-633.54%,6.85,242.42亿,70.33亿,-9.82%,232.86亿,110.38亿
2024,455.081,33.0968,13.75,0.649,701.21,-14.02%,-46.56亿,-166.14%,8.27,250.89亿,105.72亿,-7.27%,285.29亿,105.71亿
2023,663.25,33.1625,20.0,0.8132,815.56,11.74%,70.39亿,27.21%,10.43,159.88亿,170.72亿,8.82%,380.04亿,144.72亿
2022,971.371,23.5541,41.24,1.3308,729.89,76.72%,55.34亿,171.45%,11.67,121.84亿,107.96亿,7.59%,301.94亿,119.09亿
2021,725.803,15.9939,45.38,1.7573,413.02,59.80%,20.39亿,35.31%,10.31,132.19亿,55.81亿,5.06%,167.18亿,79.57亿
2020,316.833,15.9533,19.86,1.2258,258.47,22.17%,15.07亿,20.34%,9.19,94.93亿,39.16亿,5.99%,148.40亿,49.88亿
2019,73.122,13.4168,5.45,0.3456,211.55,7.67%,12.52亿,74.09%,5.95,57.21亿,24.57亿,6.07%,82.95亿,27.80亿
2018,15.859,3.8869,4.08,0.0807,196.49,-0.95%,7.19亿,3144.05%,3.27,38.83亿,12.05亿,1.39%,56.03亿,26.57亿
2017,,,5.8,,3.57,10.58%,2216.80万,10.22%,3.24,8648.27万,-8.37亿,6.21%,12.60亿,1.60亿
2016,,,8.63,,3.23,0.14%,2011.21万,106.25%,3.18,1.00亿,-8.59亿,6.23%,12.36亿,1.28亿
2015,,,9.58,,3.22,-48.87%,-3.22亿,-1323.94%,3.12,9551.14万,-8.80亿,-100.25%,12.15亿,1.56亿
2014,,,6.16,,6.3,-5.09%,2629.96万,106.13%,3.91,5.41亿,-5.58亿,1.75%,15.14亿,3.05亿
2013,,,3.42,,6.64,34.64%,-4.29亿,-34.97%,2.25,3436.03万,-5.84亿,-67.22%,5.17亿,5.20亿
2012,,,3.07,,4.93,-50.64%,-3.18亿,-4322.87%,4.17,1.44亿,-1.55亿,-67.11%,9.61亿,6.61亿
2011,,,4.24,,9.99,-8.68%,753.03万,-92.39%,5.59,2.37亿,1.63亿,2.12%,12.98亿,6.21亿
2010,,,10.12,,10.94,9.03%,9901.38万,21.28%,7.74,8.75亿,2.24亿,8.85%,13.26亿,4.90亿
