报告期,总市值,总股本,收盘,市销率,营业总收入(亿),营业总收入同比增长率,净利润(亿),净利润同比增长率,每股净资产,总现金,未分配利润,销售净利率,股东权益,存货
2025-09-30,34.974,1.1448,30.55,2.2117,11.86,21.99%,4318.14万,51.85%,9.48,3.92亿,4.57亿,3.53%,11.09亿,5.93亿
2024,23.594,1.1448,20.61,1.7888,13.19,-7.79%,3187.34万,174.46%,9.29,2.88亿,4.36亿,2.09%,10.88亿,4.77亿
2023,26.481,1.1312,23.41,1.8518,14.3,-32.52%,-4280.59万,-128.59%,9.68,2.84亿,4.31亿,-3.67%,11.24亿,3.57亿
2022,27.675,0.8078,34.26,1.306,21.19,28.10%,1.50亿,-1.45%,14.60,5.55亿,5.22亿,7.08%,12.17亿,5.87亿
2021,42.256,0.8,52.82,2.5532,16.55,111.54%,1.52亿,191.07%,13.11,4.36亿,4.25亿,9.22%,10.87亿,4.84亿
2020,20.912,0.8,26.14,2.6742,7.82,23.97%,5220.15万,-9.99%,11.42,4.80亿,3.03亿,6.67%,9.13亿,2.91亿
2019,,,,,6.31,7.74%,5799.51万,39.82%,6.19,9540.09万,2.68亿,9.19%,3.71亿,1.62亿
2018,,,,,5.86,21.87%,4147.72万,-7.24%,5.41,7878.54万,2.27亿,7.08%,3.25亿,1.25亿
2017,,,,,4.8,43.82%,4471.60万,47.38%,4.86,6920.17万,2.02亿,9.29%,2.93亿,1.40亿
2016,,,,,3.34,-12.63%,3034.05万,21.88%,4.26,7157.29万,1.71亿,9.20%,2.57亿,1.02亿
2015,,,,,3.82,8.36%,2489.28万,-11.51%,3.90,5261.05万,1.49亿,6.55%,2.40亿,9954.67万
2014,,,,,3.53,False,2813.00万,False,3.59,4862.80万,1.33亿,8.03%,2.21亿,1.07亿
