报告期,总市值,总股本,收盘,市销率,营业总收入(亿),营业总收入同比增长率,净利润(亿),净利润同比增长率,每股净资产,总现金,未分配利润,销售净利率,股东权益,存货
2025-09-30,617.8,22.49,27.47,1.4944,310.05,9.50%,34.90亿,-1.38%,10.65,101.76亿,173.98亿,13.63%,282.61亿,34.07亿
2024,369.343,22.4935,16.42,0.9625,383.73,1.99%,43.07亿,-27.07%,9.64,32.83亿,150.25亿,12.50%,260.25亿,35.64亿
2023,348.03,22.4971,15.47,0.925,376.25,-11.89%,59.05亿,-22.07%,8.81,133.23亿,131.91亿,17.88%,243.32亿,30.53亿
2022,289.477,22.5099,12.86,0.6779,427.04,23.80%,75.78亿,134.10%,7.13,179.16亿,95.35亿,20.08%,212.00亿,31.00亿
2021,169.725,22.5099,7.54,0.4921,344.93,83.16%,32.37亿,803.35%,4.16,105.15亿,35.46亿,8.85%,143.84亿,27.77亿
2020,146.384,22.3146,6.56,0.7783,188.09,7.25%,3.58亿,-73.26%,3.13,141.51亿,5.48亿,1.34%,124.26亿,20.51亿
2019,83.432,19.005,4.39,0.4757,175.38,-9.04%,13.40亿,450.09%,4.09,103.76亿,3.91亿,3.23%,90.98亿,21.71亿
2018,59.296,19.005,3.12,0.3061,193.69,-0.34%,2.44亿,-33.81%,3.20,93.30亿,12.91亿,-0.34%,81.42亿,52.58亿
2017,,,8.06,,188.99,11.81%,3.68亿,7.58%,3.11,88.27亿,11.88亿,1.62%,78.35亿,59.75亿
2016,,,4.39,,169.02,-11.99%,3.42亿,120.46%,2.98,79.73亿,9.03亿,-6.06%,76.53亿,45.70亿
2015,,,3.94,,192.05,-26.74%,-16.72亿,-356.22%,2.77,60.58亿,5.63亿,-10.48%,86.27亿,42.51亿
2014,,,4.74,,239.67,-6.70%,-3.67亿,-485.10%,3.61,58.69亿,22.37亿,-1.72%,104.19亿,45.08亿
2013,,,3.81,,256.87,-8.21%,9517.74万,-52.77%,3.99,37.15亿,27.29亿,0.07%,111.67亿,38.58亿
2012,,,5.92,,279.85,-8.84%,2.02亿,-82.48%,3.89,33.11亿,27.10亿,0.43%,101.59亿,23.44亿
2011,,,7.21,,306.99,81.62%,11.51亿,-0.71%,3.25,34.43亿,26.68亿,3.62%,69.28亿,22.31亿
2010,,,12.11,,169.03,59.36%,11.59亿,92.87%,4.29,35.41亿,25.00亿,6.10%,59.62亿,20.06亿
