报告期,总市值,总股本,收盘,市销率,营业总收入(亿),营业总收入同比增长率,净利润(亿),净利润同比增长率,每股净资产,总现金,未分配利润,销售净利率,股东权益,存货
2025-09-30,33.383,2.5062,13.32,0.7193,34.81,32.77%,1409.16万,-52.43%,5.40,4.90亿,4.45亿,0.42%,13.60亿,2.50亿
2024,16.065,2.5062,6.41,0.4279,37.54,38.43%,2770.63万,15.57%,5.39,3.76亿,4.40亿,0.74%,13.57亿,1.28亿
2023,20.2,2.5062,8.06,0.7448,27.12,2.44%,2397.45万,-18.70%,5.31,3.67亿,4.25亿,0.88%,13.37亿,2.32亿
2022,16.315,2.5062,6.51,0.6164,26.47,-60.58%,2948.78万,-49.73%,5.21,5.28亿,4.02亿,1.09%,13.06亿,2.33亿
2021,17.393,2.5062,6.94,0.259,67.16,23.62%,5865.61万,33.86%,5.10,5.36亿,3.76亿,0.87%,12.77亿,3.10亿
2020,17.117,2.5062,6.83,0.3151,54.32,5.98%,4381.95万,-14.08%,4.86,6.90亿,3.19亿,0.81%,12.19亿,2.47亿
2019,18.897,2.5062,7.54,0.3687,51.26,-10.98%,5099.89万,6.71%,4.75,3.47亿,2.89亿,1.00%,11.90亿,1.53亿
2018,18.822,2.5062,7.51,0.3269,57.58,5.61%,4779.42万,-18.76%,4.59,2.32亿,2.51亿,0.83%,11.51亿,2.20亿
2017,,,11.27,,54.52,40.17%,5883.16万,540.57%,4.53,1.58亿,2.41亿,1.08%,11.39亿,2.43亿
2016,,,17.18,,38.89,26.31%,918.43万,44.27%,4.26,2.45亿,1.84亿,0.24%,10.71亿,2.44亿
2015,,,22.42,,30.79,30.49%,636.61万,111.37%,4.19,1.51亿,1.85亿,0.21%,10.54亿,2.98亿
2014,,,8.74,,23.6,-10.18%,-5600.31万,-1665.44%,3.71,3776.31万,1.78亿,-2.37%,7.85亿,2.58亿
2013,,,5.64,,26.27,18.51%,357.75万,-35.90%,3.97,3406.94万,2.34亿,0.14%,8.41亿,2.17亿
2012,,,5.89,,22.17,-13.04%,558.08万,-74.04%,3.96,3399.03万,2.33亿,0.25%,8.38亿,2.34亿
2011,,,7.38,,25.49,-1.31%,2149.46万,-67.82%,3.93,1.34亿,2.28亿,0.84%,8.32亿,2.17亿
2010,,,11.36,,25.83,72.30%,6679.08万,8.95%,5.89,3.65亿,2.31亿,2.83%,8.32亿,3.15亿
