报告期,总市值,总股本,收盘,市销率,营业总收入(亿),营业总收入同比增长率,净利润(亿),净利润同比增长率,每股净资产,总现金,未分配利润,销售净利率,股东权益,存货
2025-09-30,111.468,10.3116,10.81,2.4654,33.91,-8.50%,-1.14亿,-311.53%,2.82,3.26亿,9.04亿,-3.30%,30.45亿,5.97亿
2024,130.854,10.3116,12.69,2.5394,51.53,32.31%,-1.47亿,-199.28%,3.02,3.32亿,10.18亿,-2.55%,32.51亿,5.51亿
2023,162.407,10.3181,15.74,4.1696,38.95,0.57%,1.48亿,-36.40%,3.38,2.62亿,12.46亿,4.08%,35.96亿,6.24亿
2022,104.687,7.9188,13.22,2.703,38.73,15.12%,2.32亿,87.01%,4.16,5.47亿,11.12亿,6.56%,33.85亿,5.53亿
2021,90.871,5.9666,15.23,2.7013,33.64,86.89%,1.24亿,-41.15%,5.12,4.67亿,8.88亿,4.25%,31.13亿,5.04亿
2020,42.406,4.2619,9.95,2.3559,18.0,3.06%,2.11亿,-5.26%,7.03,3.33亿,8.89亿,11.17%,30.33亿,4.14亿
2019,16.713,3.0442,5.49,0.9567,17.47,60.61%,2.23亿,172.17%,9.37,4.82亿,7.64亿,12.52%,28.96亿,3.35亿
2018,5.041,1.2698,3.97,0.4633,10.88,12.69%,8192.01万,43.43%,9.36,2.50亿,5.83亿,7.39%,12.22亿,2.72亿
2017,,,3.97,,9.65,27.37%,5711.51万,-27.79%,8.86,2.78亿,5.30亿,5.92%,11.45亿,2.09亿
2016,,,7.62,,7.58,-0.89%,7909.99万,-13.09%,12.08,4.66亿,5.06亿,10.44%,10.96亿,1.43亿
2015,,,,,7.65,-17.63%,9101.20万,-25.20%,9.58,1.60亿,4.34亿,11.90%,6.51亿,1.87亿
2014,,,,,9.28,-4.46%,1.22亿,-3.77%,8.24,1.25亿,3.43亿,13.11%,5.60亿,2.21亿
2013,,,,,9.71,4.20%,1.26亿,106.11%,6.45,1.05亿,2.34亿,13.02%,4.38亿,1.58亿
2012,,,,,9.32,-1.14%,6134.54万,39.44%,4.59,7998.70万,1.20亿,6.58%,3.12亿,1.24亿
2011,,,,,9.43,False,4399.30万,False,3.69,1.13亿,6285.13万,4.66%,2.51亿,1.36亿
