报告期,总市值,总股本,收盘,市销率,营业总收入(亿),营业总收入同比增长率,净利润(亿),净利润同比增长率,每股净资产,总现金,未分配利润,销售净利率,股东权益,存货
2025-09-30,100.032,21.4662,4.66,1.0377,72.3,12.11%,-1738.31万,-149.40%,4.89,24.30亿,30.76亿,-0.26%,115.73亿,7.91亿
2024,108.404,21.4662,5.05,1.218,89.0,-5.36%,1.04亿,-85.78%,4.86,17.10亿,31.80亿,1.26%,114.89亿,9.26亿
2023,125.148,21.4662,5.83,1.3309,94.03,-20.60%,7.32亿,-66.62%,5.32,23.73亿,36.77亿,7.94%,125.15亿,2.45亿
2022,128.153,21.4662,5.97,1.0821,118.43,21.77%,21.94亿,87.14%,5.37,45.71亿,38.24亿,18.91%,125.83亿,3.76亿
2021,101.951,16.5505,6.16,1.0482,97.26,48.20%,11.72亿,35.29%,4.18,17.85亿,26.86亿,13.45%,79.50亿,2.80亿
2020,104.599,16.5505,6.32,1.5938,65.63,-12.58%,8.67亿,-28.49%,4.25,15.21亿,21.74亿,14.32%,80.97亿,2.07亿
2019,76.298,16.5505,4.61,1.0292,74.13,6.04%,12.12亿,28.24%,4.44,19.82亿,19.81亿,16.89%,83.26亿,1.77亿
2018,58.423,16.5505,3.53,0.9593,60.9,0.14%,9.45亿,7.72%,3.97,13.70亿,17.71亿,15.51%,68.98亿,9569.68万
2017,,,4.56,,60.81,55.36%,8.77亿,347.52%,3.89,11.02亿,14.99亿,14.24%,67.44亿,1.19亿
2016,,,5.21,,39.14,-3.80%,1.96亿,744.74%,3.71,7.19亿,11.07亿,5.01%,64.60亿,8760.18万
2015,,,5.29,,40.69,-21.37%,2320.50万,-92.45%,3.42,6.33亿,9.47亿,0.57%,59.73亿,1.37亿
2014,,,7.61,,51.75,-5.99%,3.07亿,-34.98%,3.66,6.15亿,11.90亿,5.94%,64.01亿,1.23亿
2013,,,4.43,,55.05,-26.62%,4.72亿,-68.57%,4.36,6.43亿,13.75亿,5.42%,66.43亿,1.35亿
2012,,,9.88,,78.82,5.59%,15.04亿,-11.81%,4.60,8.13亿,25.51亿,19.40%,82.36亿,2.29亿
2011,,,7.76,,74.65,36.49%,17.05亿,26.74%,6.29,11.47亿,21.28亿,23.03%,74.78亿,3.04亿
2010,,,11.96,,54.69,20.31%,13.45亿,35.88%,5.73,9.84亿,15.35亿,24.60%,63.87亿,1.93亿
