报告期,总市值,总股本,收盘,市销率,营业总收入(亿),营业总收入同比增长率,净利润(亿),净利润同比增长率,每股净资产,总现金,未分配利润,销售净利率,股东权益,存货
2025-09-30,52.995,5.2574,10.08,0.6552,60.66,40.78%,1.32亿,83.29%,5.10,9.11亿,7.58亿,2.29%,27.51亿,7.91亿
2024,35.855,5.2574,6.82,0.5782,62.01,11.26%,2549.28万,-69.15%,4.83,11.86亿,6.26亿,0.55%,26.04亿,5.68亿
2023,37.398,5.2673,7.1,0.6711,55.73,1.26%,8263.67万,-32.37%,4.89,8.59亿,6.65亿,1.75%,26.35亿,4.88亿
2022,35.47,5.2862,6.71,0.6444,55.04,132.91%,1.22亿,400.49%,4.71,16.88亿,5.93亿,1.79%,25.33亿,6.37亿
2021,33.603,5.2669,6.38,1.422,23.63,22.01%,2441.28万,-80.39%,4.43,5.95亿,4.86亿,0.89%,24.14亿,3.86亿
2020,43.991,5.1876,8.48,2.2711,19.37,7.78%,1.25亿,30.05%,4.47,7.84亿,4.61亿,4.89%,23.93亿,3.12亿
2019,24.901,4.4386,5.61,1.3857,17.97,-25.68%,9573.72万,928.48%,3.71,5.21亿,3.88亿,4.59%,17.55亿,2.83亿
2018,22.101,4.2914,5.15,0.914,24.18,45.30%,-1155.58万,-196.08%,3.53,3.80亿,3.46亿,-0.89%,16.38亿,2.61亿
2017,,,7.05,,16.64,2.26%,1202.68万,-85.63%,3.52,1.88亿,3.66亿,0.84%,16.37亿,2.78亿
2016,,,10.2,,16.27,26.14%,8368.73万,44.39%,3.54,2.86亿,3.76亿,5.52%,17.34亿,1.79亿
2015,,,13.8,,12.9,61.56%,5795.94万,23.63%,9.99,4.36亿,3.00亿,5.03%,16.46亿,3.01亿
2014,,,5.71,,7.99,-17.63%,4688.27万,-21.18%,9.93,1.63亿,2.68亿,9.33%,16.05亿,1.74亿
2013,,,6.09,,9.69,-0.43%,5948.19万,5.55%,8.98,1.20亿,2.53亿,7.99%,11.34亿,1.92亿
2012,,,4.19,,9.74,0.89%,5635.41万,3.57%,8.60,2.67亿,2.18亿,5.73%,10.08亿,1.78亿
2011,,,4.31,,9.65,24.90%,5441.38万,1.11%,8.21,3.28亿,1.83亿,5.64%,8.48亿,1.50亿
2010,,,,,7.73,17.58%,5381.49万,34.02%,4.42,1.14亿,1.34亿,6.97%,2.60亿,1.44亿
