报告期,总市值,总股本,收盘,市销率,营业总收入(亿),营业总收入同比增长率,净利润(亿),净利润同比增长率,每股净资产,总现金,未分配利润,销售净利率,股东权益,存货
2025-09-30,129.627,2.0884,62.07,12.5445,7.75,1.49%,1.43亿,-4.21%,11.00,9.63亿,4.50亿,18.57%,23.11亿,3.73亿
2024,72.283,1.757,41.14,6.0036,12.04,15.78%,1.99亿,41.25%,12.97,13.53亿,4.64亿,17.15%,22.98亿,2.03亿
2023,55.368,1.4667,37.75,5.3238,10.4,24.25%,1.41亿,27.34%,15.46,18.28亿,3.91亿,14.13%,22.81亿,2.32亿
2022,,,,,8.37,24.50%,1.10亿,46.46%,6.15,3.41亿,2.60亿,13.51%,6.83亿,2.64亿
2021,,,,,6.72,17.08%,7543.26万,19.02%,5.11,3.77亿,1.54亿,11.34%,5.67亿,1.65亿
2020,,,,,5.74,86.53%,6337.79万,381.28%,3.08,1.79亿,8142.75万,10.90%,3.11亿,9927.41万
2019,,,,,3.08,False,1316.86万,False,2.43,8149.55万,1812.93万,4.58%,2.48亿,1.34亿
2017,,,,,3.64,3.07%,5037.21万,39.50%,3.13,7244.98万,9983.18万,14.15%,3.18亿,1.29亿
2016,,,,,3.53,18.89%,3610.86万,20.30%,2.89,1.81亿,8313.89万,10.81%,2.92亿,6284.68万
2015,,,,,2.97,9.84%,3001.54万,3.13%,2.61,1.71亿,3240.94万,11.20%,2.69亿,6664.59万
2014,,,,,2.7,False,2910.42万,False,2.29,5472.28万,1843.71万,10.74%,2.34亿,5384.43万
