报告期,总市值,总股本,收盘,市销率,营业总收入(亿),营业总收入同比增长率,净利润(亿),净利润同比增长率,每股净资产,总现金,未分配利润,销售净利率,股东权益,存货
2025-09-30,116.108,2.9718,39.07,11.2073,7.77,17.20%,1738.84万,-66.11%,4.34,1.17亿,3.28亿,2.02%,16.10亿,8.34亿
2024,65.261,2.9664,22.0,6.2272,10.48,41.64%,-4909.78万,-146.94%,4.55,4.19亿,3.11亿,-4.67%,16.23亿,6.98亿
2023,37.206,2.1176,17.57,5.0278,7.4,11.50%,1.05亿,-30.28%,6.77,3.81亿,4.35亿,13.66%,17.07亿,4.53亿
2022,42.95,2.1147,20.31,6.4684,6.64,179.55%,1.50亿,290.93%,7.54,1.58亿,3.87亿,25.68%,18.46亿,3.16亿
2021,51.046,2.1024,24.28,21.5384,2.37,-24.56%,3837.48万,-61.83%,7.30,3.63亿,2.43亿,15.88%,16.73亿,1.69亿
2020,67.13,2.1024,31.93,21.3111,3.15,17.22%,1.01亿,34.68%,7.22,6.68亿,2.31亿,31.95%,15.17亿,8065.26万
2019,,,,,2.68,30.08%,7464.85万,40.95%,3.55,3309.38万,1.38亿,27.87%,5.60亿,7074.97万
2018,,,,,2.06,93.70%,5296.27万,185.66%,3.08,4521.21万,7008.48万,25.66%,4.85亿,5406.95万
2017,,,,,1.07,18.73%,1854.02万,123.60%,2.01,767.57万,2271.53万,17.36%,2.74亿,2561.75万
2016,,,,,0.897448,-12.20%,829.16万,-52.43%,1.62,2641.52万,621.95万,9.10%,2.11亿,2329.08万
2015,,,,,1.02,46.16%,1742.94万,90.96%,1.46,436.17万,2100.32万,17.05%,1.84亿,3859.63万
2014,,,,,0.699368,False,912.73万,False,1.06,871.46万,537.89万,13.05%,1.06亿,2634.36万
