报告期,总市值,总股本,收盘,市销率,营业总收入(亿),营业总收入同比增长率,净利润(亿),净利润同比增长率,每股净资产,总现金,未分配利润,销售净利率,股东权益,存货
2025-09-30,292.27,15.8756,18.41,1.2708,172.49,-2.40%,20.01亿,-3.19%,12.00,74.82亿,132.61亿,13.19%,211.96亿,3692.04万
2024,261.947,15.8756,16.5,1.0889,240.56,16.66%,26.88亿,8.01%,11.03,67.53亿,117.17亿,12.74%,193.86亿,2451.58万
2023,224.163,15.8756,14.12,1.0871,206.21,-12.14%,24.88亿,-31.58%,9.73,92.43亿,97.29亿,13.83%,169.80亿,3382.11万
2022,225.592,15.8756,14.21,0.9612,234.7,5.59%,36.37亿,0.27%,8.52,95.33亿,78.66亿,18.28%,146.85亿,3708.63万
2021,313.702,15.8756,19.76,1.4114,222.27,47.09%,36.27亿,53.12%,6.92,95.23亿,55.48亿,18.95%,118.46亿,3924.79万
2020,,,,,151.11,33.77%,23.69亿,200.70%,3.66,24.80亿,23.60亿,18.02%,56.95亿,3005.77万
2019,,,,,112.96,3.77%,7.88亿,-21.33%,2.36,25.16亿,5.50亿,7.27%,34.92亿,3608.25万
2018,,,,,108.86,42.03%,10.01亿,46.08%,2.07,14.91亿,9695.24万,10.19%,30.57亿,3653.12万
2017,,,,,76.65,31.30%,6.85亿,107.92%,1.62,16.29亿,1.49亿,9.68%,23.12亿,4637.91万
2016,,,,,58.37,False,3.30亿,False,0.70,2.89亿,-5.05亿,5.92%,7.38亿,6471.66万
