报告期,总市值,总股本,收盘,市销率,营业总收入(亿),营业总收入同比增长率,净利润(亿),净利润同比增长率,每股净资产,总现金,未分配利润,销售净利率,股东权益,存货
2025-09-30,50.919,4.5749,11.13,4.3595,8.76,-19.46%,-3813.30万,-122.27%,5.10,3.26亿,8.48亿,-1.15%,29.43亿,1631.13万
2024,50.461,4.5749,11.03,3.4801,14.5,-6.27%,1.58亿,-46.57%,5.40,4.52亿,9.78亿,13.17%,30.77亿,1078.81万
2023,85.09,4.597,18.51,5.5003,15.47,22.48%,2.96亿,32.02%,5.42,6.21亿,9.80亿,22.02%,30.00亿,782.09万
2022,81.684,4.5204,18.07,6.4675,12.63,16.10%,2.24亿,-17.34%,4.90,9.12亿,8.43亿,19.21%,27.05亿,713.64万
2021,107.15,4.4683,23.98,9.8483,10.88,28.25%,2.72亿,19.23%,4.93,6.70亿,7.66亿,27.77%,28.84亿,312.30万
2020,78.897,4.4399,17.77,9.3039,8.48,74.57%,2.28亿,56.19%,4.51,7.97亿,6.42亿,29.47%,23.90亿,383.29万
2019,35.224,3.4132,10.32,7.2477,4.86,22.07%,1.46亿,41.96%,5.42,1.39亿,5.31亿,29.54%,19.02亿,136.84万
2018,30.461,2.433,12.52,7.6535,3.98,9.20%,1.03亿,11.48%,7.28,3.15亿,4.70亿,25.80%,18.27亿,148.72万
2017,,,,,3.65,-0.74%,9213.43万,9.72%,6.54,8172.51万,3.82亿,25.41%,12.17亿,327.82万
2016,,,,,3.67,10.55%,8396.85万,4.79%,6.03,9901.14万,2.97亿,22.86%,11.00亿,332.94万
2015,,,,,3.32,15.66%,8012.98万,24.88%,5.27,4054.85万,2.13亿,24.23%,9.19亿,357.18万
2014,,,,,2.87,19.01%,6416.74万,37.77%,4.02,7157.03万,2.27亿,23.03%,5.82亿,341.72万
2013,,,,,2.41,False,4657.72万,False,5.88,1.07亿,1.69亿,19.41%,6.26亿,353.81万
