报告期,总市值,总股本,收盘,市销率,营业总收入(亿),营业总收入同比增长率,净利润(亿),净利润同比增长率,每股净资产,总现金,未分配利润,销售净利率,股东权益,存货
2025-09-30,638.338,54.6522,11.68,2.7984,171.08,-2.55%,27.23亿,-21.22%,7.84,55.80亿,169.45亿,17.74%,406.57亿,10.47亿
2024,541.961,47.7078,11.36,2.3291,232.69,2.25%,40.42亿,19.53%,7.52,58.31亿,152.45亿,18.87%,395.06亿,13.34亿
2023,548.163,47.7078,11.49,2.4113,227.33,18.40%,33.81亿,132.07%,7.21,57.50亿,139.07亿,16.57%,379.62亿,11.61亿
2022,534.327,47.7078,11.2,2.8638,186.58,46.93%,14.57亿,129.29%,6.62,42.40亿,110.77亿,9.57%,335.71亿,12.78亿
2021,261.948,47.6269,5.5,2.0627,126.99,-22.50%,-49.75亿,-309.71%,6.00,35.25亿,96.20亿,-36.67%,299.22亿,10.13亿
2020,286.238,47.6269,6.01,1.747,163.85,18.05%,23.73亿,449.69%,7.27,48.71亿,155.55亿,16.01%,356.02亿,8.59亿
2019,230.229,40.3203,5.71,1.6587,138.8,12.97%,4.32亿,310.54%,6.98,39.20亿,133.73亿,4.97%,291.68亿,7.74亿
2018,159.668,40.3203,3.96,1.2996,122.86,25.64%,1.05亿,-94.05%,6.99,34.69亿,134.06亿,2.64%,292.72亿,9.27亿
2017,,,5.4,,97.78,-25.84%,17.66亿,-8.12%,6.87,50.11亿,134.96亿,19.32%,282.65亿,6.56亿
2016,,,5.83,,131.61,-26.01%,19.23亿,66.65%,6.80,64.09亿,124.98亿,15.03%,275.88亿,4.57亿
2015,,,7.78,,175.78,3.59%,11.54亿,270.98%,6.37,49.09亿,109.78亿,3.62%,325.70亿,7.15亿
2014,,,7.65,,123.34,8.27%,3.11亿,113.53%,6.05,30.61亿,110.55亿,3.27%,226.48亿,8.35亿
2013,,,4.09,,113.92,2.11%,-22.98亿,-3216.85%,6.24,19.19亿,107.44亿,-20.03%,222.12亿,8.88亿
2012,,,3.9,,111.57,-9.23%,7374.12万,-93.06%,6.91,32.86亿,130.43亿,1.23%,243.86亿,9.34亿
2011,,,4.89,,122.91,7.72%,10.62亿,-38.12%,6.94,33.77亿,133.25亿,8.78%,244.61亿,8.24亿
2010,,,7.78,,114.09,27.92%,17.17亿,61.21%,6.63,10.62亿,129.48亿,15.09%,230.91亿,4.49亿
